Sl. No.,Journal name,2022 JIF
1990,MINERALS ENGINEERING,4.8
1991,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,4.8
1992,mSphere,4.8
1993,NEOPLASIA,4.8
1994,NEUROSURGERY,4.8
1995,ORAL ONCOLOGY,4.8
1996,Plant Diversity,4.8
1997,Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej,4.8
1998,Progress in Orthodontics,4.8
1999,PROSTATE CANCER AND PROSTATIC DISEASES,4.8
2000,Rice Science,4.8
2001,SLEEP MEDICINE,4.8
2002,Stata Journal,4.8
2003,Stem Cell Reviews and Reports,4.8
2004,Synthetic and Systems Biotechnology,4.8
2005,SYSTEMATIC ENTOMOLOGY,4.8
2006,Thermal Science and Engineering Progress,4.8
2007,Virology Journal,4.8
2008,World Journal of Mens Health,4.8
2009,ACS Applied Electronic Materials,4.7
2010,ACS Synthetic Biology,4.7
2011,ADVANCES IN WATER RESOURCES,4.7
2012,ARTHRITIS CARE & RESEARCH,4.7
2013,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,4.7
2014,ASN Neuro,4.7
2015,Autism Research,4.7
2016,Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,4.7
2017,BIOCONJUGATE CHEMISTRY,4.7
2018,Biomedicines,4.7
2019,Biotechnology Journal,4.7
2020,CARCINOGENESIS,4.7
2021,CHEMICAL ENGINEERING SCIENCE,4.7
2022,China CDC Weekly,4.7
2023,CLINICAL NEUROPHYSIOLOGY,4.7
2024,COMPUTERS & STRUCTURES,4.7
2025,Current Oncology Reports,4.7
2026,Developmental Cognitive Neuroscience,4.7
2027,Environmental Health and Preventive Medicine,4.7
2028,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,4.7
2029,EUROPEAN JOURNAL OF CLINICAL NUTRITION,4.7
2030,European Thyroid Journal,4.7
2031,Extreme Mechanics Letters,4.7
2032,FISH & SHELLFISH IMMUNOLOGY,4.7
2033,Food Structure-Netherlands,4.7
2034,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,4.7
2035,Frontiers in Oncology,4.7
2036,Frontiers in Psychiatry,4.7
2037,Frontiers in Sustainable Food Systems,4.7
2038,Fuzzy Optimization and Decision Making,4.7
2039,Gynecologic Oncology,4.7
2040,HYDROMETALLURGY,4.7
2041,IMAGE AND VISION COMPUTING,4.7
2042,Insights into Imaging,4.7
2043,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,4.7
2044,International Journal of Pharmaceutics-X,4.7
2045,International Journal of Social Robotics,4.7
2046,JOURNAL OF EPIDEMIOLOGY,4.7
2047,Journal of Fungi,4.7
2048,Journal of Hydrology-Regional Studies,4.7
2049,JOURNAL OF LIGHTWAVE TECHNOLOGY,4.7
2050,JOURNAL OF MOLECULAR MEDICINE-JMM,4.7
2051,JOURNAL OF NEUROCHEMISTRY,4.7
2052,JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,4.7
2053,JOURNAL OF PSYCHOSOMATIC RESEARCH,4.7
2054,JOURNAL OF SOUND AND VIBRATION,4.7
2055,JOURNAL OF TELEMEDICINE AND TELECARE,4.7
2056,LAND DEGRADATION & DEVELOPMENT,4.7
2057,MATERIALS CHARACTERIZATION,4.7
2058,MEDICAL HYPOTHESES,4.7
2059,MEDICAL TEACHER,4.7
2060,Memetic Computing,4.7
2061,MINERVA MEDICA,4.7
2062,Molecular Therapy-Methods & Clinical Development,4.7
2063,Nanoscale Advances,4.7
2064,Network Neuroscience,4.7
2065,NEUROPHARMACOLOGY,4.7
2066,NICOTINE & TOBACCO RESEARCH,4.7
2067,Perspectives in Ecology and Conservation,4.7
2068,Pesticide Biochemistry and Physiology,4.7
2069,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,4.7
2070,Progress in Natural Science-Materials International,4.7
2071,REVIEWS IN CHEMICAL ENGINEERING,4.7
2072,SSM-Population Health,4.7
2073,Telemedicine and e-Health,4.7
2074,Viruses-Basel,4.7
2075,Advanced Therapeutics,4.6
2076,Annals of Physical and Rehabilitation Medicine,4.6
2077,ANNALS OF THORACIC SURGERY,4.6
2078,ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,4.6
2079,AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,4.6
2080,Big Data,4.6
2081,Bioengineering-Basel,4.6
2082,Biomedical Engineering Letters,4.6
2083,Bioresources and Bioprocessing,4.6
2084,BMC Chemistry,4.6
2085,Bone & Joint Journal,4.6
2086,Bone & Joint Research,4.6
2087,Bulletin of Earthquake Engineering,4.6
2088,Cancer Research and Treatment,4.6
2089,Chinese Journal of Natural Medicines,4.6
2090,CLIMATE DYNAMICS,4.6
2091,CLINICAL AND EXPERIMENTAL IMMUNOLOGY,4.6
2092,CLINICAL AND EXPERIMENTAL MEDICINE,4.6
2093,Clinical Kidney Journal,4.6
2094,COMPUTERS & OPERATIONS RESEARCH,4.6
2095,Current HIV/AIDS Reports,4.6
2096,DEVELOPMENT,4.6
2097,DIVERSITY AND DISTRIBUTIONS,4.6
2098,ERJ Open Research,4.6
2099,EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,4.6
2100,EXCLI Journal,4.6
2101,EXPERT OPINION ON BIOLOGICAL THERAPY,4.6
2102,FOOD AND BIOPRODUCTS PROCESSING,4.6
2103,Frontiers in Environmental Science,4.6
2104,Gels,4.6
2105,HEART FAILURE REVIEWS,4.6
2106,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,4.6
2107,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,4.6
2108,INORGANIC CHEMISTRY,4.6
2109,Internal and Emergency Medicine,4.6
2110,INTERNATIONAL JOURNAL OF ENERGY RESEARCH,4.6
2111,International Journal of Public Health,4.6
2112,International Journal of Transgender Health,4.6
2113,INTERVIROLOGY,4.6
2114,IUBMB LIFE,4.6
2115,JCO Precision Oncology,4.6
2116,JOURNAL OF COMPOSITES FOR CONSTRUCTION,4.6
2117,JOURNAL OF DERMATOLOGICAL SCIENCE,4.6
2118,Journal of Global Antimicrobial Resistance,4.6
2119,JOURNAL OF PROSTHETIC DENTISTRY,4.6
2120,LIVER TRANSPLANTATION,4.6
2121,MACROMOLECULAR BIOSCIENCE,4.6
2122,MACROMOLECULAR RAPID COMMUNICATIONS,4.6
2123,MATERIALS CHEMISTRY AND PHYSICS,4.6
2124,MATHEMATICS AND COMPUTERS IN SIMULATION,4.6
2125,MEDIATORS OF INFLAMMATION,4.6
2126,Microbial Cell,4.6
2127,MOLECULAR CARCINOGENESIS,4.6
2128,Molecular Catalysis,4.6
2129,MOLECULES,4.6
2130,Nanocomposites,4.6
2131,NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,4.6
2132,OCEAN & COASTAL MANAGEMENT,4.6
2133,OPTICS AND LASERS IN ENGINEERING,4.6
2134,Pharmaceuticals,4.6
2135,Physical Review Applied,4.6
2136,PHYSICS OF FLUIDS,4.6
2137,PHYSIOLOGICAL GENOMICS,4.6
2138,POLYMER,4.6
2139,Polymer Chemistry,4.6
2140,Research and Practice in Thrombosis and Haemostasis,4.6
2141,Science China-Technological Sciences,4.6
2142,Scientific Reports,4.6
2143,SENSORS AND ACTUATORS A-PHYSICAL,4.6
2144,Sports Medicine-Open,4.6
2145,STEEL AND COMPOSITE STRUCTURES,4.6
2146,SURVEYS IN GEOPHYSICS,4.6
2147,Toxics,4.6
2148,TRANSPORTATION SCIENCE,4.6
2149,AAPS Journal,4.5
2150,AGRICULTURE AND HUMAN VALUES,4.5
2151,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,4.5
2152,Andrology,4.5
2153,ANNALS OF STATISTICS,4.5
2154,AQUACULTURE,4.5
2155,AQUATIC TOXICOLOGY,4.5
2156,Archives of Womens Mental Health,4.5
2157,Atmospheric Pollution Research,4.5
2158,BioData Mining,4.5
2159,BIOGERONTOLOGY,4.5
2160,Biomimetics,4.5
2161,BJU INTERNATIONAL,4.5
2162,BMC PUBLIC HEALTH,4.5
2163,Carbon Letters,4.5
2164,ChemCatChem,4.5
2165,CLINICAL PHARMACOKINETICS,4.5
2166,Colloid and Interface Science Communications,4.5
2167,COMPUTER VISION AND IMAGE UNDERSTANDING,4.5
2168,Current Vascular Pharmacology,4.5
2169,CYTOTHERAPY,4.5
2170,DIGESTIVE AND LIVER DISEASE,4.5
2171,Disability and Health Journal,4.5
2172,DYES AND PIGMENTS,4.5
2173,EARTHQUAKE ENGINEERING & STRUCTURAL DYNAMICS,4.5
2174,Elements,4.5
2175,ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,4.5
2176,Endoscopic Ultrasound,4.5
2177,ENVIRONMENTAL TOXICOLOGY,4.5
2178,EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,4.5
2179,European Journal of Physical and Rehabilitation Medicine,4.5
2180,Frontiers of Chemical Science and Engineering,4.5
2181,Frontiers of Mechanical Engineering,4.5
2182,GEOSYNTHETICS INTERNATIONAL,4.5
2183,Human Genomics,4.5
2184,IEEE Consumer Electronics Magazine,4.5
2185,IEEE TRANSACTIONS ON BROADCASTING,4.5
2186,IEEE-ACM Transactions on Computational Biology and Bioinformatics,4.5
2187,INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY,4.5
2188,INTERNATIONAL JOURNAL OF THERMAL SCIENCES,4.5
2189,JOURNAL OF AEROSOL SCIENCE,4.5
2190,JOURNAL OF BIOMEDICAL INFORMATICS,4.5
2191,Journal of Diabetes,4.5
2192,JOURNAL OF DRUG TARGETING,4.5
2193,Journal of Electroanalytical Chemistry,4.5
2194,Journal of Exposure Science and Environmental Epidemiology,4.5
2195,Journal of Inflammation Research,4.5
2196,JOURNAL OF KOREAN MEDICAL SCIENCE,4.5
2197,JOURNAL OF MATERIALS SCIENCE,4.5
2198,Journal of Oral Microbiology,4.5
2199,JOURNAL OF SYSTEMS ARCHITECTURE,4.5
2200,Journal of the American College of Radiology,4.5
2201,Journal of Traditional and Complementary Medicine,4.5
2202,LIMNOLOGY AND OCEANOGRAPHY,4.5
2203,Lipids in Health and Disease,4.5
2204,Microorganisms,4.5
2205,Nutrition & Metabolism,4.5
2206,NUTRITION RESEARCH,4.5
2207,PATHOLOGY,4.5
2208,PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY,4.5
2209,PLANT DISEASE,4.5
2210,Plants-Basel,4.5
2211,PLoS Genetics,4.5
2212,RIVISTA DEL NUOVO CIMENTO,4.5
2213,RNA,4.5
2214,Schizophrenia Research,4.5
2215,Spine Journal,4.5
2216,Sustainable Computing-Informatics & Systems,4.5
2217,TOXICOLOGY,4.5
2218,TRAFFIC,4.5
2219,TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA,4.5
2220,TRANSFUSION MEDICINE REVIEWS,4.5
2221,VALUE IN HEALTH,4.5
2222,Water Reuse,4.5
2223,ACADEMIC EMERGENCY MEDICINE,4.4
2224,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,4.4
2225,ADDICTIVE BEHAVIORS,4.4
2226,Advanced Quantum Technologies,4.4
2227,Allergy Asthma & Immunology Research,4.4
2228,ANNALS OF FAMILY MEDICINE,4.4
2229,ANNALS OF MEDICINE,4.4
2230,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,4.4
2231,APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,4.4
2232,Archives of Civil and Mechanical Engineering,4.4
2233,Archives of Disease in Childhood-Fetal and Neonatal Edition,4.4
2234,Asia-Pacific Journal of Ophthalmology,4.4
2235,Bayesian Analysis,4.4
2236,BMC GENOMICS,4.4
2237,BMC Psychiatry,4.4
2238,Climate Risk Management,4.4
2239,Clinical and Translational Allergy,4.4
2240,CLINICAL MEDICINE,4.4
2241,Cluster Computing-The Journal of Networks Software Tools and Applications,4.4
2242,COASTAL ENGINEERING,4.4
2243,Combustion and Flame,4.4
2244,COMPUTERS & GEOSCIENCES,4.4
2245,CURRENT OPINION IN LIPIDOLOGY,4.4
2246,CURRENT PROBLEMS IN SURGERY,4.4
2247,ENDOCRINE PATHOLOGY,4.4
2248,Enterprise Information Systems,4.4
2249,European Journal of Emergency Medicine,4.4
2250,EUROPEAN JOURNAL OF PUBLIC HEALTH,4.4
2251,EUROPEAN PHYSICAL JOURNAL C,4.4
2252,Expert Review of Clinical Immunology,4.4
2253,Expert Review of Clinical Pharmacology,4.4
2254,GENOMICS,4.4
2255,HELICOBACTER,4.4
2256,High Voltage,4.4
2257,IEEE Systems Journal,4.4
2258,IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,4.4
2259,IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,4.4
2260,IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,4.4
2261,IEEE TRANSACTIONS ON POWER DELIVERY,4.4
2262,IMMUNOLOGIC RESEARCH,4.4
2263,IMMUNOLOGY LETTERS,4.4
2264,INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,4.4
2265,Influenza and Other Respiratory Viruses,4.4
2266,Interface Focus,4.4
2267,INTERMETALLICS,4.4
2268,INTERNATIONAL IMMUNOLOGY,4.4
2269,INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY,4.4
2270,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,4.4
2271,Journal of Atherosclerosis and Thrombosis,4.4
2272,JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,4.4
2273,Journal of Central South University,4.4
2274,JOURNAL OF CHEMICAL PHYSICS,4.4
2275,Journal of Civil Structural Health Monitoring,4.4
2276,Journal of Clinical Lipidology,4.4
2277,JOURNAL OF DENTISTRY,4.4
2278,JOURNAL OF DIGITAL IMAGING,4.4
2279,JOURNAL OF GEODESY,4.4
2280,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,4.4
2281,JOURNAL OF IMMUNOLOGY,4.4
2282,JOURNAL OF LIPOSOME RESEARCH,4.4
2283,JOURNAL OF MAGNETIC RESONANCE IMAGING,4.4
2284,JOURNAL OF PROTEOME RESEARCH,4.4
2285,JOURNAL OF PUBLIC HEALTH,4.4
2286,Journal of Science Education and Technology,4.4
2287,JOURNAL OF SLEEP RESEARCH,4.4
2288,Journal of Sustainable Cement-Based Materials,4.4
2289,JOURNAL OF THE NEUROLOGICAL SCIENCES,4.4
2290,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,4.4
2291,Life Science Alliance,4.4
2292,MITOCHONDRION,4.4
2293,NEUROCHEMICAL RESEARCH,4.4
2294,NUTRITION,4.4
2295,PALLIATIVE MEDICINE,4.4
2296,PEDIATRIC ALLERGY AND IMMUNOLOGY,4.4
2297,PHARMACOECONOMICS,4.4
2298,Pharmacological Reports,4.4
2299,Photonic Sensors,4.4
2300,Physical and Engineering Sciences in Medicine,4.4
2301,PHYSICS LETTERS B,4.4
2302,Phytobiomes Journal,4.4
2303,POULTRY SCIENCE,4.4
2304,PROCESS BIOCHEMISTRY,4.4
2305,Reproductive Biology and Endocrinology,4.4
2306,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,4.4
2307,SIGNAL PROCESSING,4.4
2308,SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,4.4
2309,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,4.4
2310,SYNTHETIC METALS,4.4
2311,Therapeutic Advances in Drug Safety,4.4
2312,VETERINARY RESEARCH,4.4
2313,WILDLIFE MONOGRAPHS,4.4
2314,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,4.3
2315,ANALYTICAL AND BIOANALYTICAL CHEMISTRY,4.3
2316,APPLIED OCEAN RESEARCH,4.3
2317,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,4.3
2318,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,4.3
2319,BioChip Journal,4.3
2320,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,4.3
2321,BOUNDARY-LAYER METEOROLOGY,4.3
2322,CELL CYCLE,4.3
2323,CELLULAR IMMUNOLOGY,4.3
2324,Chemical Engineering and Processing-Process Intensification,4.3
2325,CHEMISTRY-A EUROPEAN JOURNAL,4.3
2326,CHINESE JOURNAL OF POLYMER SCIENCE,4.3
2327,Clean Technologies and Environmental Policy,4.3
2328,Climate of the Past,4.3
2329,CLINICAL ORAL IMPLANTS RESEARCH,4.3
2330,COMPUTER SPEECH AND LANGUAGE,4.3
2331,COMPUTER-AIDED DESIGN,4.3
2332,COMPUTERS & CHEMICAL ENGINEERING,4.3
2333,COMPUTERS & ELECTRICAL ENGINEERING,4.3
2334,CRITICAL CARE CLINICS,4.3
2335,Current Osteoporosis Reports,4.3
2336,CURRENT TREATMENT OPTIONS IN ONCOLOGY,4.3
2337,Disease Models & Mechanisms,4.3
2338,DISPLAYS,4.3
2339,Environmental Chemistry,4.3
2340,Environmental Toxicology and Pharmacology,4.3
2341,European Transport Research Review,4.3
2342,Expert Opinion on Drug Metabolism & Toxicology,4.3
2343,Expert Review of Neurotherapeutics,4.3
2344,FOOD AND CHEMICAL TOXICOLOGY,4.3
2345,Frontiers in Neuroscience,4.3
2346,GLYCOBIOLOGY,4.3
2347,Green Processing and Synthesis,4.3
2348,HUMAN AND ECOLOGICAL RISK ASSESSMENT,4.3
2349,Human Cell,4.3
2350,IEEE SENSORS JOURNAL,4.3
2351,IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,4.3
2352,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,4.3
2353,INDIAN JOURNAL OF PEDIATRICS,4.3
2354,International Journal of Fuzzy Systems,4.3
2355,INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,4.3
2356,Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,4.3
2357,Journal of Civil Engineering and Management,4.3
2358,Journal of Clinical Sleep Medicine,4.3
2359,Journal of Diabetes Research,4.3
2360,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,4.3
2361,JOURNAL OF MEMORY AND LANGUAGE,4.3
2362,JOURNAL OF PERIODONTOLOGY,4.3
2363,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,4.3
2364,JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,4.3
2365,JOURNAL OF PLANT PHYSIOLOGY,4.3
2366,JOURNAL OF PSYCHIATRY & NEUROSCIENCE,4.3
2367,JOURNAL OF VASCULAR SURGERY,4.3
2368,JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,4.3
2369,MATHEMATICAL BIOSCIENCES,4.3
2370,MOLECULAR AND CELLULAR BIOCHEMISTRY,4.3
2371,NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,4.3
2372,NURSING OUTLOOK,4.3
2373,Obesity Research & Clinical Practice,4.3
2374,PANMINERVA MEDICA,4.3
2375,Pervasive and Mobile Computing,4.3
2376,PHARMACOPSYCHIATRY,4.3
2377,Pigment Cell & Melanoma Research,4.3
2378,PLANTA,4.3
2379,PLoS Computational Biology,4.3
2380,Regenerative Therapy,4.3
2381,RESPIRATORY MEDICINE,4.3
2382,REVIEWS IN ANALYTICAL CHEMISTRY,4.3
2383,ROBOTICS AND AUTONOMOUS SYSTEMS,4.3
2384,SCIENTIA HORTICULTURAE,4.3
2385,Stem Cells International,4.3
2386,Therapeutic Advances in Respiratory Disease,4.3
2387,Transboundary and Emerging Diseases,4.3
2388,TRANSPORTATION,4.3
2389,WATER RESOURCES MANAGEMENT,4.3
2390,WORLD JOURNAL OF GASTROENTEROLOGY,4.3
2391,Worldviews on Evidence-Based Nursing,4.3
2392,ACS Medicinal Chemistry Letters,4.2
2393,Advances in Nonlinear Analysis,4.2
2394,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,4.2
2395,AMERICAN JOURNAL OF NEPHROLOGY,4.2
2396,AMERICAN JOURNAL OF OPHTHALMOLOGY,4.2
2397,AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,4.2
2398,AMERICAN JOURNAL OF THERAPEUTICS,4.2
2399,ANALYST,4.2
2400,ANNALS OF BOTANY,4.2
2401,ASAIO JOURNAL,4.2
2402,ASTROBIOLOGY,4.2
2403,BIOLOGICAL CONTROL,4.2
2404,Biology-Basel,4.2
2405,BMC MICROBIOLOGY,4.2
2406,Bulletin of Engineering Geology and the Environment,4.2
2407,CALCIFIED TISSUE INTERNATIONAL,4.2
2408,Canadian Journal of Anesthesia-Journal canadien d anesthesie,4.2
2409,CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE,4.2
2410,CARIES RESEARCH,4.2
2411,Chemosensors,4.2
2412,Chinese Journal of Mechanical Engineering,4.2
2413,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,4.2
2414,Current Diabetes Reports,4.2
2415,CURRENT PROBLEMS IN CARDIOLOGY,4.2
2416,DRUG AND ALCOHOL DEPENDENCE,4.2
2417,DRUG SAFETY,4.2
2418,Endocrine Practice,4.2
2419,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,4.2
2420,EPIDEMIOLOGY AND INFECTION,4.2
2421,EUROPEAN JOURNAL OF MEDICAL RESEARCH,4.2
2422,EUROPEAN JOURNAL OF SOIL BIOLOGY,4.2
2423,EUROPEAN JOURNAL OF SOIL SCIENCE,4.2
2424,Eye and Vision,4.2
2425,FEMS MICROBIOLOGY ECOLOGY,4.2
2426,Frontiers of Computer Science,4.2
2427,Future Medicinal Chemistry,4.2
2428,Geomatics Natural Hazards & Risk,4.2
2429,Geothermal Energy,4.2
2430,Gut Pathogens,4.2
2431,HEALTH PSYCHOLOGY,4.2
2432,HEPATOLOGY RESEARCH,4.2
2433,HUMAN GENE THERAPY,4.2
2434,IEEE Antennas and Wireless Propagation Letters,4.2
2435,IEEE Transactions on Control of Network Systems,4.2
2436,INDIAN JOURNAL OF MEDICAL RESEARCH,4.2
2437,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,4.2
2438,INTERNATIONAL JOURNAL OF DAMAGE MECHANICS,4.2
2439,INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,4.2
2440,International Journal of Precision Engineering and Manufacturing-Green Technology,4.2
2441,International Journal of Systems Science-Operations & Logistics,4.2
2442,JOINT BONE SPINE,4.2
2443,JOURNAL OF CLINICAL NURSING,4.2
2444,JOURNAL OF ENDODONTICS,4.2
2445,JOURNAL OF HEALTH POLITICS POLICY AND LAW,4.2
2446,JOURNAL OF INHERITED METABOLIC DISEASE,4.2
2447,JOURNAL OF NEUROSCIENCE RESEARCH,4.2
2448,JOURNAL OF NEUROTRAUMA,4.2
2449,JOURNAL OF NUTRITION,4.2
2450,JOURNAL OF PROCESS CONTROL,4.2
2451,MARINE AND PETROLEUM GEOLOGY,4.2
2452,Membranes,4.2
2453,NDT & E INTERNATIONAL,4.2
2454,NEUROBIOLOGY OF AGING,4.2
2455,NEUROCHEMISTRY INTERNATIONAL,4.2
2456,NeuroImage-Clinical,4.2
2457,NEUROREHABILITATION AND NEURAL REPAIR,4.2
2458,Nonlinear Analysis-Hybrid Systems,4.2
2459,npj Science of Learning,4.2
2460,NURSING ETHICS,4.2
2461,ONCOLOGY REPORTS,4.2
2462,Open Forum Infectious Diseases,4.2
2463,Peer-to-Peer Networking and Applications,4.2
2464,Plant Genome,4.2
2465,PLANT GROWTH REGULATION,4.2
2466,POSTGRADUATE MEDICINE,4.2
2467,Regional Environmental Change,4.2
2468,SEMINARS IN LIVER DISEASE,4.2
2469,Seminars in Orthodontics,4.2
2470,SIMULATION MODELLING PRACTICE AND THEORY,4.2
2471,Social Cognitive and Affective Neuroscience,4.2
2472,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,4.2
2473,TECTONICS,4.2
2474,Therapeutic Advances in Gastroenterology,4.2
2475,Therapeutic Advances in Musculoskeletal Disease,4.2
2476,Therapeutic Advances in Psychopharmacology,4.2
2477,Toxins,4.2
2478,ULTRASONICS,4.2
2479,VIRTUAL REALITY,4.2
2480,VLDB JOURNAL,4.2
2481,World Journal of Diabetes,4.2
2482,ACM Transactions on Sensor Networks,4.1
2483,ACS Omega,4.1
2484,Advanced Biosystems,4.1
2485,Advances in Difference Equations,4.1
2486,AGRICULTURAL ECONOMICS,4.1
2487,Artificial Intelligence and Law,4.1
2488,BIOCHEMICAL JOURNAL,4.1
2489,BMC Geriatrics,4.1
2490,BMJ Open Diabetes Research & Care,4.1
2491,BMJ Open Respiratory Research,4.1
2492,BONE,4.1
2493,Borderline Personality Disorder and Emotion Dysregulation,4.1
2494,BRITISH JOURNAL OF OPHTHALMOLOGY,4.1
2495,CHEMICAL RESEARCH IN TOXICOLOGY,4.1
2496,Chemistry-An Asian Journal,4.1
2497,China Communications,4.1
2498,Chronic Respiratory Disease,4.1
2499,CIRP ANNALS-MANUFACTURING TECHNOLOGY,4.1
2500,CLINICAL AND EXPERIMENTAL DERMATOLOGY,4.1
2501,COLD REGIONS SCIENCE AND TECHNOLOGY,4.1
2502,COMPUTATIONAL MECHANICS,4.1
2503,Computers and Concrete,4.1
2504,CURRENT MEDICINAL CHEMISTRY,4.1
2505,Current Opinion in HIV and AIDS,4.1
2506,Current Research in Translational Medicine,4.1
2507,Current Reviews in Musculoskeletal Medicine,4.1
2508,DIAMOND AND RELATED MATERIALS,4.1
2509,DNA RESEARCH,4.1
2510,ECOLOGY AND SOCIETY,4.1
2511,EMPIRICAL SOFTWARE ENGINEERING,4.1
2512,Engineering Construction and Architectural Management,4.1
2513,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,4.1
2514,European Heart Journal-Acute Cardiovascular Care,4.1
2515,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,4.1
2516,EvoDevo,4.1
2517,Evolutionary Applications,4.1
2518,Forest Ecosystems,4.1
2519,GENETICS SELECTION EVOLUTION,4.1
2520,Geoderma Regional,4.1
2521,Hellenic Journal of Cardiology,4.1
2522,IEEE COMMUNICATIONS LETTERS,4.1
2523,IEEE JOURNAL OF OCEANIC ENGINEERING,4.1
2524,INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,4.1
2525,INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,4.1
2526,INTERNATIONAL NURSING REVIEW,4.1
2527,JOURNAL OF BIOTECHNOLOGY,4.1
2528,Journal of Cell Communication and Signaling,4.1
2529,JOURNAL OF CHROMATOGRAPHY A,4.1
2530,JOURNAL OF COMPUTATIONAL PHYSICS,4.1
2531,Journal of Constructional Steel Research,4.1
2532,Journal of Eating Disorders,4.1
2533,Journal of Flood Risk Management,4.1
2534,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,4.1
2535,Journal of Hepatocellular Carcinoma,4.1
2536,Journal of Immunology Research,4.1
2537,JOURNAL OF MEDICAL ETHICS,4.1
2538,Journal of Minimally Invasive Gynecology,4.1
2539,JOURNAL OF MOLECULAR DIAGNOSTICS,4.1
2540,JOURNAL OF NEUROSURGERY,4.1
2541,Journal of Pathology Clinical Research,4.1
2542,JOURNAL OF PSYCHOPHARMACOLOGY,4.1
2543,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,4.1
2544,JOURNAL OF STRUCTURAL ENGINEERING,4.1
