,Preferred Label,Semantic Types Label,Class ID,Semantic Types,Synonyms,Parents,CUI,AQL,TERMUI
510283,Intracranial Aneurysm,Pathologic Function,http://purl.bioontology.org/ontology/MESH/D002532,T046,"Aneurysm, Giant Intracranial|Aneurysms, Basilar Artery|Anterior Cerebral Artery Aneurysm|Artery Aneurysms, Basilar|Aneurysms, Brain|Berry Aneurysm|Aneurysms, Berry|Aneurysm, Anterior Cerebral Artery|Aneurysm, Posterior Cerebral Artery|Intracranial Mycotic Aneurysm|Aneurysm, Cerebral|Aneurysms, Intracranial|Intracranial Aneurysms, Giant|Cerebral Aneurysms|Basilar Artery Aneurysms|Aneurysms, Cerebral|Mycotic Aneurysms, Intracranial|Giant Intracranial Aneurysms|Aneurysm, Middle Cerebral Artery|Cerebral Aneurysm|Aneurysm, Intracranial|Posterior Cerebral Artery Aneurysm|Aneurysm, Berry|Intracranial Aneurysms|Intracranial Mycotic Aneurysms|Basilar Artery Aneurysm|Aneurysm, Anterior Communicating Artery|Aneurysms, Intracranial Mycotic|Intracranial Aneurysm, Giant|Aneurysm, Posterior Communicating Artery|Middle Cerebral Artery Aneurysm|Posterior Communicating Artery Aneurysm|Aneurysm, Intracranial Mycotic|Anterior Communicating Artery Aneurysm|Mycotic Aneurysm, Intracranial|Aneurysm, Basilar Artery|Berry Aneurysms|Aneurysms, Giant Intracranial|Artery Aneurysm, Basilar|Aneurysm, Brain|Giant Intracranial Aneurysm|Brain Aneurysm|Brain Aneurysms",http://purl.bioontology.org/ontology/MESH/D020765|http://purl.bioontology.org/ontology/MESH/D000783,C0751001|C0005136|C0751000|C0751002|C0917996|C0740387|C0751003|C0751004|C0751005|C0007766|C0740385|C0740386,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368738|T368734|T368740|T368742|T368741|T368728|T368733|T007390|T368737|T683024|T368736|T368730|T368729|T683023|T368731|T368735|T368739|T007392|T368732|T007391
490251,Hydrocephalus With Cerebellar Agenesis,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C564407,T047,,,C1844005,,T804823
490253,"Hydrocephalus, X-Linked, with Congenital Idiopathic Intestinal Pseudoobstruction",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C564408,T047,,,C1844006,,T829578
490402,Hydrocephalus,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D006849,T047,"Hydrocephalus Ex-Vacuos|Hydrocephalus, Obstructive|Hydrocephalus Ex Vacuo|Aqueductal Stenosis|Post-Traumatic Hydrocephalus|Hydrocephaly|Cerebral Ventriculomegalies|Cerebral Ventriculomegaly|Ventriculomegalies, Fetal Cerebral|Stenoses, Aqueductal|Cerebral Ventriculomegaly, Fetal|Stenosis, Aqueductal|Post Traumatic Hydrocephalus|Hydrocephalus, Communicating|Ventriculomegaly, Fetal Cerebral|Fetal Cerebral Ventriculomegalies|Congenital Hydrocephalus|Cerebral Ventriculomegalies, Fetal|Hydrocephalus, Post-Traumatic|Hydrocephalus Ex-Vacuo|Aqueductal Stenoses|Ventriculomegaly, Cerebral|Communicating Hydrocephalus|Obstructive Hydrocephalus|Hydrocephalus, Congenital|Fetal Cerebral Ventriculomegaly|Ventriculomegalies, Cerebral",http://purl.bioontology.org/ontology/MESH/D001927,C2936786|C0549423|C1531647|C0009451|C2936718|C0020255|C0020256|C0270720|C0477432,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368477|T368480|T368482|T368479|T768015|T368478|T768014|T020657|T368481|T768016
491071,Thoracic Dysplasia-Hydrocephalus Syndrome,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C564774,T047,,,C1848864,,T805606
491355,"Hydrocephalus, Skeletal Anomalies, and Mental Disturbance",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C563413,T047,,,C1832948,,T827859
491408,Megalancephaly Polymicrogyria-Polydactyly Hydrocephalus Syndrome,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C566381,T047,"Meg-Pmg-Megacc Syndrome|Megalencephaly, Mega Corpus Callosum, And Complete Lack Of Motor Development|Megalencephaly, Polymicrogyria, Mega Corpus Callosum Syndrome",,C1863924,,T808375|T808376|T000925469|T808374
494005,"Hydrocephalus, endocardial fibroelastosis, and cataracts",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C535855,T047,"Communicating hydrocephalus, endocardial fibroelastosis (EFE) and congenital cataracts",,C1833607,,T737443|T737442
494686,"Osteochondrodysplasia, Rhizomelic, with Callosal Agenesis, Thrombocytopenia, Hydrocephalus, and Hypertension",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C563478,T047,,,C1833688,,T827932
494863,Vater Association With Hydrocephalus,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C564752,T047,Vater Association With Macrocephaly And Ventriculomegaly,,C1848600|C2749240,,T810740|T805565
494864,VACTERL Association With Hydrocephalus,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C564751,T047,"VACTERL Association With Hydrocephalus, X-Linked|X-linked VACTERL-H syndrome|VACTERL-H, X-Linked|VACTERL association with hydrocephaly|VACTERL-H|VACTERL hydrocephaly|VACTERL association with hydrocephaly, X-linked",,C1848599,,T827050|T824808|T824807|T739591|T739592|T739594|T739590|T827049
497599,"Tremor, Hereditary Essential, And Idiopathic Normal Pressure Hydrocephalus",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C567519,T047,ETINPH,,C2678494,,T824058|T810578
497617,"Hydrocephalus, Autosomal Dominant",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C563973,T047,,,C1838347,,T803985
498141,"Hydrocephalus, X-linked",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C536078,T047,"Hydrocephalus due to congenital stenosis of aqueduct of sylvius|Aqueductal stenosis, X-linked|HSAS1 Hydrocephalus due to congenital stenosis of aqueduct of sylvius 1",,C0265216,,T738177|T000961253|T738174|T738175
498357,"Hydrocephalus, Normal Pressure",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D006850,T047,"NPH (Normal Pressure Hydrocephalus)|Syndromes, Hakim's|Syndromes, Hakim|Hydrocephalus, Normal-Pressure|Hakims Syndrome|Hakim Syndromes|Hakim's Syndromes|Hakim Syndrome|NPHs (Normal Pressure Hydrocephalus)|Syndrome, Hakim|Syndrome, Hakim's|Normal Pressure Hydrocephalus|Hakim's Syndrome",http://purl.bioontology.org/ontology/MESH/D006849,C0020258,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368486|T020658|T368483|T368485|T368484|T811639
501113,Hydrocephalus,Finding,http://purl.bioontology.org/ontology/MESH/D006849,T033,"Hydrocephalus Ex-Vacuos|Hydrocephalus, Obstructive|Hydrocephalus Ex Vacuo|Aqueductal Stenosis|Post-Traumatic Hydrocephalus|Hydrocephaly|Cerebral Ventriculomegalies|Cerebral Ventriculomegaly|Ventriculomegalies, Fetal Cerebral|Stenoses, Aqueductal|Cerebral Ventriculomegaly, Fetal|Stenosis, Aqueductal|Post Traumatic Hydrocephalus|Hydrocephalus, Communicating|Ventriculomegaly, Fetal Cerebral|Fetal Cerebral Ventriculomegalies|Congenital Hydrocephalus|Cerebral Ventriculomegalies, Fetal|Hydrocephalus, Post-Traumatic|Hydrocephalus Ex-Vacuo|Aqueductal Stenoses|Ventriculomegaly, Cerebral|Communicating Hydrocephalus|Obstructive Hydrocephalus|Hydrocephalus, Congenital|Fetal Cerebral Ventriculomegaly|Ventriculomegalies, Cerebral",http://purl.bioontology.org/ontology/MESH/D001927,C2936786|C0549423|C1531647|C0009451|C2936718|C0020255|C0020256|C0270720|C0477432,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368477|T368480|T368482|T368479|T768015|T368478|T768014|T020657|T368481|T768016
495797,Hereditary Sensory and Autonomic Neuropathies,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D009477,T047,"Sensory Neuropathies, Congenital|Neuropathy, Congenital Sensory, with Anhidrosis|Sensory Neuropathies, Hereditary|Hereditary Sensory and Autonomic Neuropathy Type I|Sensory and Autonomic Neuropathies, Hereditary|Giaccai Type Acroosteolysis|Hereditary Sensory and Autonomic Neuropathy, Type 4|Hereditary Sensory Autonomic Neuropathy, Type 4|Hereditary Sensory Radicular Neuropathy|Hereditary Sensory Radicular Neuropathy, Recessive Form|Neuropathy, Congenital Sensory|Congenital Insensitivity to Pain with Anhidrosis|Neuropathy Hereditary Sensory Radicular, Autosomal Dominant|Sensory Neuropathy, Hereditary|HSAN2|Hereditary Sensory Neuropathy Type Ia|Neuropathy, Hereditary Sensory, Type I|HSAN 5|Acroosteolysis, Giaccai Type|HSAN Type V|Neuropathies, Hereditary Sensory and Autonomic|Hereditary Sensory Neuropathy Type 1|Type I, HSAN|Familial Dysautonomia, Type II|Hereditary Sensory and Autonomic Neuropathy Type 2|Hereditary Sensory and Autonomic Neuropathy Type IV|Acroosteolyses, Neurogenic|Neuropathy, Hereditary Sensory And Autonomic, Type V|HSAN 4|Hereditary Sensory And Autonomic Neuropathy IV|HSANs (Hereditary Sensory Autonomic Neuropathy)|Hereditary Sensory Neuropathies|Congenital Sensory Neuropathy|HSAN Type I|Hereditary Sensory and Autonomic Neuropathy Type V|Neuropathies, Hereditary Sensory|Neurogenic Acroosteolysis|Hereditary Sensory and Autonomic Neuropathy, Type 5|Hereditary Sensory and Autonomic Neuropathy Type II|Neuropathy, Hereditary Sensory And Autonomic, Type I|HSN Type I|HSAN 1|HSN Type IIs|Congenital Sensory Neuropathies|Neuropathy, Hereditary Sensory|Neuropathy, Hereditary Sensory Radicular, Autosomal Dominant|HSAN|Neuropathy, Hereditary Sensory Radicular, Autosomal Recessive|HSAN Type II|HSAN Type IV|Neuropathy Hereditary Sensory and Autonomic Type 1|Pain Insensitivity with Anhidrosis, Congenital|Hereditary Sensory Autonomic Neuropathy, Type 1|Neuropathy, Progressive Sensory, Of Children|HSAN (Hereditary Sensory Autonomic Neuropathy)|Type IV, HSAN|Hereditary Sensory and Autonomic Neuropathy Type 1|HSAN IV|HSAN V|HSN Type II|Neuropathies, Congenital Sensory|Familial Dysautonomia, Type 2|Insensitivity to Pain with Anhidrosis, Congenital|Hereditary Sensory and Autonomic Neuropathy 4|HSAN I|Acroosteolysis, Neurogenic|Neurogenic Acroosteolyses|Sensory Neuropathy, Congenital|Hereditary Sensory Autonomic Neuropathy, Type 5|HSAN5|Type I, HSN|Hereditary Sensory Autonomic Neuropathy, Type 2|HSANII|Hereditary Sensory Neuropathy Type I|Insensitivity to Pain, Congenital, with Anhidrosis|Hereditary Sensory Neuropathy",http://purl.bioontology.org/ontology/MESH/D009421|http://purl.bioontology.org/ontology/MESH/D011115|http://purl.bioontology.org/ontology/MESH/D020271,C0699739|C0020074|C0086405|C0020072|C0027889|C0020075|C0020071,BL CF CI CL CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T028245|T755149|T818696|T843028|T028244|T824571|T751022|T365291|T365287|T028251|T811628|T751016|T028246|T843031|T028254|T818698|T843029|T841185|T751012|T028252|T841655|T818699|T751017|T751021|T028249|T365290|T751023|T841652|T841654|T028247|T028253|T751024|T811629|T841653|T751014|T843887|T751018|T824572|T365289|T751015|T811624|T028250|T028248|T811626|T811625|T751011|T365288|T751019|T811636|T365286|T843030|T812405|T365295|T818697|T751013|T841649|T811627|T365292|T028255|T841650
495220,Hemiplegia,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D006429,T047,"Flaccid Hemiplegia|Hemiplegia, Flaccid|Hemiplegias|Hemiplegias, Crossed|Monoplegias|Infantile Hemiplegia|Post-Ictal Hemiplegias|Hemiplegia, Transient|Monoplegia|Hemiplegias, Infantile|Hemiplegia, Post Ictal|Post-Ictal Hemiplegia|Hemiplegia, Infantile|Hemiplegias, Transient|Hemiplegia, Spastic|Transient Hemiplegia|Hemiplegia, Post-Ictal|Crossed Hemiplegias|Hemiplegias, Flaccid|Transient Hemiplegias|Crossed Hemiplegia|Flaccid Hemiplegias|Infantile Hemiplegias|Hemiplegia, Crossed|Hemiplegias, Spastic|Spastic Hemiplegias|Spastic Hemiplegia|Hemiplegias, Post-Ictal",http://purl.bioontology.org/ontology/MESH/D010243,C0085622|C0154693|C0751195|C0392550|C0154694|C0278110|C0521662|C0018991,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T371031|T371028|T019414|T371034|T371032|T371029|T371030|T371033
507724,Hemiplegia,Sign or Symptom,http://purl.bioontology.org/ontology/MESH/D006429,T184,"Flaccid Hemiplegia|Hemiplegia, Flaccid|Hemiplegias|Hemiplegias, Crossed|Monoplegias|Infantile Hemiplegia|Post-Ictal Hemiplegias|Hemiplegia, Transient|Monoplegia|Hemiplegias, Infantile|Hemiplegia, Post Ictal|Post-Ictal Hemiplegia|Hemiplegia, Infantile|Hemiplegias, Transient|Hemiplegia, Spastic|Transient Hemiplegia|Hemiplegia, Post-Ictal|Crossed Hemiplegias|Hemiplegias, Flaccid|Transient Hemiplegias|Crossed Hemiplegia|Flaccid Hemiplegias|Infantile Hemiplegias|Hemiplegia, Crossed|Hemiplegias, Spastic|Spastic Hemiplegias|Spastic Hemiplegia|Hemiplegias, Post-Ictal",http://purl.bioontology.org/ontology/MESH/D010243,C0085622|C0154693|C0751195|C0392550|C0154694|C0278110|C0521662|C0018991,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T371031|T371028|T019414|T371034|T371032|T371029|T371030|T371033
493734,Gerstmann-Straussler-Scheinker Disease,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D016098,T047,"Inherited Spongiform Encephalopathy, Gerstmann-Straussler|Disease, Gerstmann-Straussler|Gerstmann Straussler Disease|Gerstmann Straussler Inherited Spongiform Encephalopathy|Gerstmann-Straussler Disease|Inherited Spongiform Encephalopathy, Gerstmann Straussler|Gerstmann-Straussler-Scheinker Syndrome|Diseases, Gerstmann-Straussler|Gerstmann-Straussler Inherited Spongiform Encephalopathy|Gerstmann Straussler Scheinker Disease|Gerstmann Straussler Scheinker Syndrome|Gerstmann-Straussler Diseases|Encephalopathy, Subacute Spongiform, Gerstmann-Straussler Type|Gerstmann Straussler Syndrome|Gerstmann-Straussler Syndrome",http://purl.bioontology.org/ontology/MESH/D017096|http://purl.bioontology.org/ontology/MESH/D020271,C0017495,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH TM UR VE VI,T811555|T368339|T047840|T751207|T047839|T368340|T751208
496669,"Gait Disorders, Neurologic",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D020233,T047,"Gait, Spastic|Scissors Gait|Charcot Gait|Neurologic Locomotion Disorder|Gait, Broadened|Duck Gait|Unsteady Gait|Charcot Gaits|Neurologic Ambulation Disorder|Neurologic Gait Disorder|Festinating Gait|Gait, Drop Foot|Gait, Widebased|Neurologic Locomotion Disorders|Gait, Unsteady|Gait, Hemiplegic|Gait, Rigid|Hysterical Gait|Charcots Gait|Neurologic Gait Dysfunction|Spastic Gait|Widebased Gait|Drop Foot Gait|Gait Disorder, Neurologic|Sensorimotor Gait Disorder|Gait Dysfunction, Neurologic|Gait Disorder, Sensorimotor|Gait, Stumbling|Neurologic Ambulation Disorders|Gait, Charcot's|Broadened Gait|Rigid Gait|Gait, Athetotic|Locomotion Disorder, Neurologic|Ambulation Disorder, Neurologic|Reeling Gait|Gait, Hysterical|Athetotic Gait|Frontal Gait|Rapid Fatigue of Gait|Gait, Reeling|Ambulation Disorders, Neurologic|Neurologic Gait Dysfunctions|Foot Gait, Drop|Locomotion Disorders, Neurologic|Gait, Charcot|Sensorimotor Gait Disorders|Gait, Frontal|Hemiplegic Gait|Shuffling Gaits|Gait, Scissors|Gait Disorders, Sensorimotor|Gait, Duck|Neurologic Gait Disorders|Marche a Petit Pas|Stumbling Gait|Charcot's Gait|Shuffling Gait|Gait, Festinating|Gaits, Charcot|Gait Dysfunctions, Neurologic|Gait, Shuffling",http://purl.bioontology.org/ontology/MESH/D009461,C0231689|C0751829|C0751831|C0231688|C0427177|C0427128|C0231712|C0231696|C0427149|C0337210|C0751830|C0231694|C0231686|C0427169|C0231693|C0231687|C0235000|C0231695|C0231698|C0751832|C0234996,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T373292|T373298|T373291|T373311|T373290|T358402|T373288|T373293|T373295|T373303|T373299|T373307|T373297|T373304|T373312|T373305|T373310|T373289|T373308|T373296|T373301|T373302|T373313|T373287|T373300|T373306|T373309|T373294
501462,"Gait Disorders, Neurologic",Finding,http://purl.bioontology.org/ontology/MESH/D020233,T033,"Gait, Spastic|Scissors Gait|Charcot Gait|Neurologic Locomotion Disorder|Gait, Broadened|Duck Gait|Unsteady Gait|Charcot Gaits|Neurologic Ambulation Disorder|Neurologic Gait Disorder|Festinating Gait|Gait, Drop Foot|Gait, Widebased|Neurologic Locomotion Disorders|Gait, Unsteady|Gait, Hemiplegic|Gait, Rigid|Hysterical Gait|Charcots Gait|Neurologic Gait Dysfunction|Spastic Gait|Widebased Gait|Drop Foot Gait|Gait Disorder, Neurologic|Sensorimotor Gait Disorder|Gait Dysfunction, Neurologic|Gait Disorder, Sensorimotor|Gait, Stumbling|Neurologic Ambulation Disorders|Gait, Charcot's|Broadened Gait|Rigid Gait|Gait, Athetotic|Locomotion Disorder, Neurologic|Ambulation Disorder, Neurologic|Reeling Gait|Gait, Hysterical|Athetotic Gait|Frontal Gait|Rapid Fatigue of Gait|Gait, Reeling|Ambulation Disorders, Neurologic|Neurologic Gait Dysfunctions|Foot Gait, Drop|Locomotion Disorders, Neurologic|Gait, Charcot|Sensorimotor Gait Disorders|Gait, Frontal|Hemiplegic Gait|Shuffling Gaits|Gait, Scissors|Gait Disorders, Sensorimotor|Gait, Duck|Neurologic Gait Disorders|Marche a Petit Pas|Stumbling Gait|Charcot's Gait|Shuffling Gait|Gait, Festinating|Gaits, Charcot|Gait Dysfunctions, Neurologic|Gait, Shuffling",http://purl.bioontology.org/ontology/MESH/D009461,C0231689|C0751829|C0751831|C0231688|C0427177|C0427128|C0231712|C0231696|C0427149|C0337210|C0751830|C0231694|C0231686|C0427169|C0231693|C0231687|C0235000|C0231695|C0231698|C0751832|C0234996,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T373292|T373298|T373291|T373311|T373290|T358402|T373288|T373293|T373295|T373303|T373299|T373307|T373297|T373304|T373312|T373305|T373310|T373289|T373308|T373296|T373301|T373302|T373313|T373287|T373300|T373306|T373309|T373294
507760,"Gait Disorders, Neurologic",Sign or Symptom,http://purl.bioontology.org/ontology/MESH/D020233,T184,"Gait, Spastic|Scissors Gait|Charcot Gait|Neurologic Locomotion Disorder|Gait, Broadened|Duck Gait|Unsteady Gait|Charcot Gaits|Neurologic Ambulation Disorder|Neurologic Gait Disorder|Festinating Gait|Gait, Drop Foot|Gait, Widebased|Neurologic Locomotion Disorders|Gait, Unsteady|Gait, Hemiplegic|Gait, Rigid|Hysterical Gait|Charcots Gait|Neurologic Gait Dysfunction|Spastic Gait|Widebased Gait|Drop Foot Gait|Gait Disorder, Neurologic|Sensorimotor Gait Disorder|Gait Dysfunction, Neurologic|Gait Disorder, Sensorimotor|Gait, Stumbling|Neurologic Ambulation Disorders|Gait, Charcot's|Broadened Gait|Rigid Gait|Gait, Athetotic|Locomotion Disorder, Neurologic|Ambulation Disorder, Neurologic|Reeling Gait|Gait, Hysterical|Athetotic Gait|Frontal Gait|Rapid Fatigue of Gait|Gait, Reeling|Ambulation Disorders, Neurologic|Neurologic Gait Dysfunctions|Foot Gait, Drop|Locomotion Disorders, Neurologic|Gait, Charcot|Sensorimotor Gait Disorders|Gait, Frontal|Hemiplegic Gait|Shuffling Gaits|Gait, Scissors|Gait Disorders, Sensorimotor|Gait, Duck|Neurologic Gait Disorders|Marche a Petit Pas|Stumbling Gait|Charcot's Gait|Shuffling Gait|Gait, Festinating|Gaits, Charcot|Gait Dysfunctions, Neurologic|Gait, Shuffling",http://purl.bioontology.org/ontology/MESH/D009461,C0231689|C0751829|C0751831|C0231688|C0427177|C0427128|C0231712|C0231696|C0427149|C0337210|C0751830|C0231694|C0231686|C0427169|C0231693|C0231687|C0235000|C0231695|C0231698|C0751832|C0234996,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T373292|T373298|T373291|T373311|T373290|T358402|T373288|T373293|T373295|T373303|T373299|T373307|T373297|T373304|T373312|T373305|T373310|T373289|T373308|T373296|T373301|T373302|T373313|T373287|T373300|T373306|T373309|T373294
498175,Essential Tremor,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D020329,T047,"Hereditary Essential Tremor|Familial Tremor|Tremors, Essential|Tremor, Benign Essential|Tremors, Benign Essential|Familial Tremors|Essential Tremors, Benign|Tremor, Essential|Essential Tremors|Tremor, Familial|Benign Essential Tremors|Tremors, Familial|Essential Tremor, Benign|Benign Essential Tremor",http://purl.bioontology.org/ontology/MESH/D009069,C0270736|C0393615,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368086|T368085|T841345|T358393
491015,Progressive Encephalomyelitis with Rigidity,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/C566113,T047,,,C1861457,,T832251
496018,Encephalomyelitis,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D004679,T047,"Myeloencephalitis|Encephalomyelitis, Inflammatory|Myeloencephalitides|Inflammatory Encephalomyelitis",http://purl.bioontology.org/ontology/MESH/D002494|http://purl.bioontology.org/ontology/MESH/D000090862,C0014070|C0751107,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T367649|T367650|T367651|T014334
496019,"Encephalomyelitis, Acute Disseminated",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D004673,T047,"Disseminated Encephalomyelitis, Acute|Encephalitis, Post-Vaccinal|Vaccination Encephalitis|Postinfectious Encephalomyelitis|Post-Vaccinal Encephalitis|Encephalomyelitis, Post-Vaccinal|Encephalitis, Postvaccinal|Postexanthem Encephalomyelitis|Post-Vaccinal Encephalomyelitis|Encephalomyelitis, Postexanthem|Disseminated Encephalomyelitides, Acute|Encephalitides, Post-Vaccinal|Post-Vaccinal Encephalomyelitides|Post Vaccinal Encephalomyelitis|Encephalomyelitis, Postinfectious|Post-Vaccinal Encephalitides|Postvaccinal Encephalitis|Acute Disseminated Encephalomyelitis|Acute Disseminated Encephalomyelitides|Encephalomyelitides, Acute Disseminated|Encephalomyelitides, Post-Vaccinal|Encephalitis, Vaccination|Post Vaccinal Encephalitis|Encephalitis, Post Vaccinal",http://purl.bioontology.org/ontology/MESH/D020278,C0751101|C0751100|C0014059|C0751099,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T014312|T014309|T014308|T014307|T014313|T014310|T366506|T014311|T014314|T366507|T014306|T366509|T366508|T366505
496615,"Encephalomyelitis, Western Equine",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D020241,T047,"Western Equine Encephalitis|Encephalitis, Western Equine|Western Equine Encephalomyelitis|Equine Encephalitis, Western",http://purl.bioontology.org/ontology/MESH/D004683,C0153064,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH TM UR VE VI,T367627|T358384
496616,"Encephalomyelitis, Eastern Equine",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D020242,T047,"Encephalitis, Eastern Equine|Eastern Equine Encephalomyelitis Virus Infection|Eastern Equine Encephalitis|Encephalitides, Eastern Equine|Equine Encephalitides, Eastern|Eastern Equine Encephalomyelitis|Equine Encephalitis, Eastern|Eastern Equine Encephalomyelitides|Eastern Equine Encephalitides|Encephalomyelitides, Eastern Equine|Equine Encephalomyelitides, Eastern|Equine Encephalomyelitis, Eastern",http://purl.bioontology.org/ontology/MESH/D004683,C0153065,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH TM UR VE VI,T367580|T358383|T000946342|T367579
498617,"Encephalomyelitis, Enzootic Porcine",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D004682,T047,"Porcine Poliomyelitis|Disease, Talfan|Poliomyelitis, Porcine|Disease, Teschen|Porcine Encephalomyelitis, Enzootic|Talfan Disease|Enzootic Porcine Encephalomyelitis|Teschen Disease",http://purl.bioontology.org/ontology/MESH/D004769|http://purl.bioontology.org/ontology/MESH/D013553,C0087073|C0014073,BL CF CI CL CN CO DG DH DI DT EC EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RT SU TH TM UR VI,T014349|T014350|T014348|T014352|T014351
498618,"Encephalomyelitis, Venezuelan Equine",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D004685,T047,"Venezuelan Equine Encephalitis|Venezuelan Equine Encephalomyelitis|Encephalitis, Venezuelan Equine|Equine Encephalomyelitis, Venezuelan|Venezuelan Equine Encephalomyelitides|Encephalomyelitides, Venezuelan Equine|Equine Encephalitis, Venezuelan|Equine Encephalomyelitides, Venezuelan",http://purl.bioontology.org/ontology/MESH/D004683,C0014078,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH TM UR VE VI,T014369|T014370|T014368|T014374|T014371|T014373|T014372
498619,"Encephalomyelitis, Equine",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D004683,T047,"Equine Encephalomyelitis Viral Infections|Infections, Equine Encephalomyelitis Virus|Encephalitis, Equine|Equine Encephalomyelitis|Equine Encephalitis|Equine Encephalomyelitis Virus Infections",http://purl.bioontology.org/ontology/MESH/D018792|http://purl.bioontology.org/ontology/MESH/D004671|http://purl.bioontology.org/ontology/MESH/D004679|http://purl.bioontology.org/ontology/MESH/D018354,C0014074,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH TM UR VE VI,T367620|T014355|T367619|T014353|T014354|T367618
506803,"Encephalomyelitis Virus, Avian",Virus,http://purl.bioontology.org/ontology/MESH/D001350,T005,"Avian encephalomyelitis virus 1|Tremovirus A|Avian Encephalomyelitis-like Virus|Encephalomyelitis-like Virus, Avian|Epidemic Tremor Virus|Avian Encephalomyelitis Viruses|Avian Encephalomyelitis Virus",http://purl.bioontology.org/ontology/MESH/D010849,C0004418,CH CL DE EN GD GE IM IP ME PH PY RE UL,T003965|T000910718|T003964|T444926|T003960|T000910719|T003966
