,Preferred Label,Semantic Types Label,Class ID,Semantic Types,Synonyms,Parents,CUI,AQL,TERMUI,mesh_id
66,"Meningitis, Pneumococcal",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D008586,T047,"Meningitis, Pneumococcal, Experimental|Experimental Pneumococcal Meningitides|Meningitis, Experimental Pneumococcal|Pneumococcal Meningitides, Experimental|Experimental Pneumococcal Meningitis|Pneumococcal Meningitis, Experimental|Meningitides, Streptococcus pneumoniae|Pneumococcal Meningitides|Meningitis, Pneumococcal, Recurrent|Meningitis, Streptococcus pneumoniae|Pneumococcal Meningitis|Streptococcus pneumoniae Meningitides|Streptococcus pneumoniae Meningitis|Meningitis, Pneumococcal, Penicillin-Resistant",http://purl.bioontology.org/ontology/MESH/D011008|http://purl.bioontology.org/ontology/MESH/D016920,C0751313|C0025295|C1720785|C0751312,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH TM UR VE VI,T369388|T025535|T369386|T369389|T369390|T369387,D008586
67,"Meningitis, Pneumococcal",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D008586,T047,"Meningitis, Pneumococcal, Experimental|Experimental Pneumococcal Meningitides|Meningitis, Experimental Pneumococcal|Pneumococcal Meningitides, Experimental|Experimental Pneumococcal Meningitis|Pneumococcal Meningitis, Experimental|Meningitides, Streptococcus pneumoniae|Pneumococcal Meningitides|Meningitis, Pneumococcal, Recurrent|Meningitis, Streptococcus pneumoniae|Pneumococcal Meningitis|Streptococcus pneumoniae Meningitides|Streptococcus pneumoniae Meningitis|Meningitis, Pneumococcal, Penicillin-Resistant",http://purl.bioontology.org/ontology/MESH/D011008|http://purl.bioontology.org/ontology/MESH/D016920,C0751313|C0025295|C1720785|C0751312,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH TM UR VE VI,T369388|T025535|T369386|T369389|T369390|T369387,D008586
68,"Meningitis, Pneumococcal",Experimental Model of Disease,http://purl.bioontology.org/ontology/MESH/D008586,T050,"Meningitis, Pneumococcal, Experimental|Experimental Pneumococcal Meningitides|Meningitis, Experimental Pneumococcal|Pneumococcal Meningitides, Experimental|Experimental Pneumococcal Meningitis|Pneumococcal Meningitis, Experimental|Meningitides, Streptococcus pneumoniae|Pneumococcal Meningitides|Meningitis, Pneumococcal, Recurrent|Meningitis, Streptococcus pneumoniae|Pneumococcal Meningitis|Streptococcus pneumoniae Meningitides|Streptococcus pneumoniae Meningitis|Meningitis, Pneumococcal, Penicillin-Resistant",http://purl.bioontology.org/ontology/MESH/D011008|http://purl.bioontology.org/ontology/MESH/D016920,C0751313|C0025295|C1720785|C0751312,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH TM UR VE VI,T369388|T025535|T369386|T369389|T369390|T369387,D008586
69,"Meningitis, Pneumococcal",Experimental Model of Disease,http://purl.bioontology.org/ontology/MESH/D008586,T050,"Meningitis, Pneumococcal, Experimental|Experimental Pneumococcal Meningitides|Meningitis, Experimental Pneumococcal|Pneumococcal Meningitides, Experimental|Experimental Pneumococcal Meningitis|Pneumococcal Meningitis, Experimental|Meningitides, Streptococcus pneumoniae|Pneumococcal Meningitides|Meningitis, Pneumococcal, Recurrent|Meningitis, Streptococcus pneumoniae|Pneumococcal Meningitis|Streptococcus pneumoniae Meningitides|Streptococcus pneumoniae Meningitis|Meningitis, Pneumococcal, Penicillin-Resistant",http://purl.bioontology.org/ontology/MESH/D011008|http://purl.bioontology.org/ontology/MESH/D016920,C0751313|C0025295|C1720785|C0751312,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH TM UR VE VI,T369388|T025535|T369386|T369389|T369390|T369387,D008586
70,"Meningitis, Aseptic",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D008582,T047,Aseptic Meningitis,http://purl.bioontology.org/ontology/MESH/D008581,C0025290,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T369342|T025529,D008582
71,"Meningitis, Viral",Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D008587,T047,"Viral Meningitis|Meningitides, Viral|Viral Meningitides",http://purl.bioontology.org/ontology/MESH/D020805|http://purl.bioontology.org/ontology/MESH/D008581,C0025297,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH TM UR VE VI,T369409|T025536,D008587
72,Leukoencephalopathies,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D056784,T047,"Centralis Diffusa, Myelinosis|Cree Leukoencephalopathy|CACH VWM Syndromes|Leukoencephalopathy|Syndrome, CACH VWM|Childhood Ataxia with Diffuse Central Nervous System Hypomyelination|VWM Syndrome, CACH|CACH VWM Syndrome|Childhood Ataxia with Central Nervous System Hypomyelinization|Cree Leukoencephalopathies|Diffusas, Myelinosis Centralis|Diffusa, Myelinosis Centralis|CACH Syndromes|Myelinosis Centralis Diffusa|Vanishing White Matter Leukodystrophy|Childhood Ataxia with Central Nervous System Hypomyelination|White Matter Diseases|Leukoencephalopathy, Cree|CACH Syndrome|Leukoencephalopathy with Vanishing White Matter|White Matter Disease|Vanishing White Matter Disease|Myelinosis Centralis Diffusas",http://purl.bioontology.org/ontology/MESH/D001927,C0270612|C1858991,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T768684|T757790|T807477|T000998356|T845106|T746713|T734423|T841917|T000888249|T843513|T831879|T757712|T845105,D056784
73,Leigh Disease,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D007888,T047,"Subacute Necrotizing Encephalopathies|Subacute Necrotizing Encephalomyelitis|Encephalopathy, Subacute Necrotizing, Juvenile|Infantile Subacute Necrotizing Encephalopathy|Necrotizing Encephalopathies, Subacute|Juvenile Subacute Necrotizing Encephalopathy|Necrotizing Encephalomyelitides, Subacute|Leigh's Disease|Subacute Necrotizing Encephalomyelitides|Subacute Necrotizing Encephalopathy, Juvenile|Juvenile Leigh Disease|Encephalomyelitis, Subacute Necrotizing|Encephalomyelopathies, Subacute Necrotizing|Encephalomyelitides, Subacute Necrotizing|Leigh Disease, Infantile|Encephalopathy, Subacute Necrotizing|Necrotizing Encephalomyelopathies, Subacute|Encephalopathy, Subacute Necrotizing, Infantile|Subacute Necrotizing Encephalopathy, Infantile|Subacute Necrotizing Encephalomyelitis, Infantile|Encephalopathies, Subacute Necrotizing|Encephalomyelopathy, Subacute Necrotizing|Leighs Disease|Disease, Leigh's|Necrotizing Encephalomyelitis, Subacute|Subacute Necrotizing Encephalomyelopathy|Leigh Syndrome|Subacute Necrotizing Encephalomyelopathies|Infantile Leigh Disease|Leigh Disease, Juvenile|Necrotizing Encephalopathy, Subacute|Subacute Necrotizing Encephalopathy|Necrotizing Encephalomyelopathy, Subacute",http://purl.bioontology.org/ontology/MESH/D028361|http://purl.bioontology.org/ontology/MESH/D020739|http://purl.bioontology.org/ontology/MESH/D015323,C0023264|C0751267|C0751268,BL CF CI CL CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T373333|T368897|T368893|T368901|T023524|T368896|T368908|T368909|T368898|T368905|T368906|T368911|T368912|T368899|T841894|T368900|T023525|T368907|T368910,D007888
74,Kuru,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D007729,T047,"Kuru Encephalopathy|Encephalopathy, Kuru",http://purl.bioontology.org/ontology/MESH/D017096,C0022802,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH TM UR VE VI,T023178|T368848|T368847,D007729
75,Intracranial Hypertension,Finding,http://purl.bioontology.org/ontology/MESH/D019586,T033,"Intracranial Pressure Increase|ICP (Intracranial Pressure) Elevation|Intracranial Pressure, Elevated|Pressure, Elevated Intracranial|ICP (Intracranial Pressure) Increase|Elevated ICP (Intracranial Pressure)|Pressure Increase, Intracranial|Hypertension, Intracranial|Elevated Intracranial Pressure|ICP, Elevated (Intracranial Pressure)",http://purl.bioontology.org/ontology/MESH/D001927,C0151740,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368799|T368797|T368800|T368796|T368798|T058296,D019586
76,Intracranial Hemorrhages,Pathologic Function,http://purl.bioontology.org/ontology/MESH/D020300,T046,"Hemorrhages, Posterior Fossa|Hemorrhages, Brain|Hemorrhage, Brain|Brain Hemorrhages|Hemorrhage, Posterior Fossa|Intracranial Hemorrhage|Posterior Fossa Hemorrhages|Hemorrhage, Intracranial|Posterior Fossa Hemorrhage|Brain Hemorrhage|Hemorrhages, Intracranial",http://purl.bioontology.org/ontology/MESH/D006470|http://purl.bioontology.org/ontology/MESH/D002561,C0751893|C0553692|C0151699,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T364091|T364089|T358611|T364090,D020300
77,Intracranial Embolism and Thrombosis,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D002542,T047,"Embolism and Thrombosis, Brain|Brain Embolism and Thrombosis|Cerebral Embolism and Thrombosis",http://purl.bioontology.org/ontology/MESH/D013923|http://purl.bioontology.org/ontology/MESH/D002561,C0007781|C0936247|C0877855,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368787|T368788|T365542|T007410,D002542
78,Intracranial Aneurysm,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D002532,T047,"Aneurysm, Giant Intracranial|Aneurysms, Basilar Artery|Anterior Cerebral Artery Aneurysm|Artery Aneurysms, Basilar|Aneurysms, Brain|Berry Aneurysm|Aneurysms, Berry|Aneurysm, Anterior Cerebral Artery|Aneurysm, Posterior Cerebral Artery|Intracranial Mycotic Aneurysm|Aneurysm, Cerebral|Aneurysms, Intracranial|Intracranial Aneurysms, Giant|Cerebral Aneurysms|Basilar Artery Aneurysms|Aneurysms, Cerebral|Mycotic Aneurysms, Intracranial|Giant Intracranial Aneurysms|Aneurysm, Middle Cerebral Artery|Cerebral Aneurysm|Aneurysm, Intracranial|Posterior Cerebral Artery Aneurysm|Aneurysm, Berry|Intracranial Aneurysms|Intracranial Mycotic Aneurysms|Basilar Artery Aneurysm|Aneurysm, Anterior Communicating Artery|Aneurysms, Intracranial Mycotic|Intracranial Aneurysm, Giant|Aneurysm, Posterior Communicating Artery|Middle Cerebral Artery Aneurysm|Posterior Communicating Artery Aneurysm|Aneurysm, Intracranial Mycotic|Anterior Communicating Artery Aneurysm|Mycotic Aneurysm, Intracranial|Aneurysm, Basilar Artery|Berry Aneurysms|Aneurysms, Giant Intracranial|Artery Aneurysm, Basilar|Aneurysm, Brain|Giant Intracranial Aneurysm|Brain Aneurysm|Brain Aneurysms",http://purl.bioontology.org/ontology/MESH/D020765|http://purl.bioontology.org/ontology/MESH/D000783,C0751001|C0005136|C0751000|C0751002|C0917996|C0740387|C0751003|C0751004|C0751005|C0007766|C0740385|C0740386,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368738|T368734|T368740|T368742|T368741|T368728|T368733|T007390|T368737|T683024|T368736|T368730|T368729|T683023|T368731|T368735|T368739|T007392|T368732|T007391,D002532
79,Intracranial Aneurysm,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D002532,T047,"Aneurysm, Giant Intracranial|Aneurysms, Basilar Artery|Anterior Cerebral Artery Aneurysm|Artery Aneurysms, Basilar|Aneurysms, Brain|Berry Aneurysm|Aneurysms, Berry|Aneurysm, Anterior Cerebral Artery|Aneurysm, Posterior Cerebral Artery|Intracranial Mycotic Aneurysm|Aneurysm, Cerebral|Aneurysms, Intracranial|Intracranial Aneurysms, Giant|Cerebral Aneurysms|Basilar Artery Aneurysms|Aneurysms, Cerebral|Mycotic Aneurysms, Intracranial|Giant Intracranial Aneurysms|Aneurysm, Middle Cerebral Artery|Cerebral Aneurysm|Aneurysm, Intracranial|Posterior Cerebral Artery Aneurysm|Aneurysm, Berry|Intracranial Aneurysms|Intracranial Mycotic Aneurysms|Basilar Artery Aneurysm|Aneurysm, Anterior Communicating Artery|Aneurysms, Intracranial Mycotic|Intracranial Aneurysm, Giant|Aneurysm, Posterior Communicating Artery|Middle Cerebral Artery Aneurysm|Posterior Communicating Artery Aneurysm|Aneurysm, Intracranial Mycotic|Anterior Communicating Artery Aneurysm|Mycotic Aneurysm, Intracranial|Aneurysm, Basilar Artery|Berry Aneurysms|Aneurysms, Giant Intracranial|Artery Aneurysm, Basilar|Aneurysm, Brain|Giant Intracranial Aneurysm|Brain Aneurysm|Brain Aneurysms",http://purl.bioontology.org/ontology/MESH/D020765|http://purl.bioontology.org/ontology/MESH/D000783,C0751001|C0005136|C0751000|C0751002|C0917996|C0740387|C0751003|C0751004|C0751005|C0007766|C0740385|C0740386,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368738|T368734|T368740|T368742|T368741|T368728|T368733|T007390|T368737|T683024|T368736|T368730|T368729|T683023|T368731|T368735|T368739|T007392|T368732|T007391,D002532
80,Intracranial Aneurysm,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D002532,T047,"Aneurysm, Giant Intracranial|Aneurysms, Basilar Artery|Anterior Cerebral Artery Aneurysm|Artery Aneurysms, Basilar|Aneurysms, Brain|Berry Aneurysm|Aneurysms, Berry|Aneurysm, Anterior Cerebral Artery|Aneurysm, Posterior Cerebral Artery|Intracranial Mycotic Aneurysm|Aneurysm, Cerebral|Aneurysms, Intracranial|Intracranial Aneurysms, Giant|Cerebral Aneurysms|Basilar Artery Aneurysms|Aneurysms, Cerebral|Mycotic Aneurysms, Intracranial|Giant Intracranial Aneurysms|Aneurysm, Middle Cerebral Artery|Cerebral Aneurysm|Aneurysm, Intracranial|Posterior Cerebral Artery Aneurysm|Aneurysm, Berry|Intracranial Aneurysms|Intracranial Mycotic Aneurysms|Basilar Artery Aneurysm|Aneurysm, Anterior Communicating Artery|Aneurysms, Intracranial Mycotic|Intracranial Aneurysm, Giant|Aneurysm, Posterior Communicating Artery|Middle Cerebral Artery Aneurysm|Posterior Communicating Artery Aneurysm|Aneurysm, Intracranial Mycotic|Anterior Communicating Artery Aneurysm|Mycotic Aneurysm, Intracranial|Aneurysm, Basilar Artery|Berry Aneurysms|Aneurysms, Giant Intracranial|Artery Aneurysm, Basilar|Aneurysm, Brain|Giant Intracranial Aneurysm|Brain Aneurysm|Brain Aneurysms",http://purl.bioontology.org/ontology/MESH/D020765|http://purl.bioontology.org/ontology/MESH/D000783,C0751001|C0005136|C0751000|C0751002|C0917996|C0740387|C0751003|C0751004|C0751005|C0007766|C0740385|C0740386,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368738|T368734|T368740|T368742|T368741|T368728|T368733|T007390|T368737|T683024|T368736|T368730|T368729|T683023|T368731|T368735|T368739|T007392|T368732|T007391,D002532
81,Intracranial Aneurysm,Pathologic Function,http://purl.bioontology.org/ontology/MESH/D002532,T046,"Aneurysm, Giant Intracranial|Aneurysms, Basilar Artery|Anterior Cerebral Artery Aneurysm|Artery Aneurysms, Basilar|Aneurysms, Brain|Berry Aneurysm|Aneurysms, Berry|Aneurysm, Anterior Cerebral Artery|Aneurysm, Posterior Cerebral Artery|Intracranial Mycotic Aneurysm|Aneurysm, Cerebral|Aneurysms, Intracranial|Intracranial Aneurysms, Giant|Cerebral Aneurysms|Basilar Artery Aneurysms|Aneurysms, Cerebral|Mycotic Aneurysms, Intracranial|Giant Intracranial Aneurysms|Aneurysm, Middle Cerebral Artery|Cerebral Aneurysm|Aneurysm, Intracranial|Posterior Cerebral Artery Aneurysm|Aneurysm, Berry|Intracranial Aneurysms|Intracranial Mycotic Aneurysms|Basilar Artery Aneurysm|Aneurysm, Anterior Communicating Artery|Aneurysms, Intracranial Mycotic|Intracranial Aneurysm, Giant|Aneurysm, Posterior Communicating Artery|Middle Cerebral Artery Aneurysm|Posterior Communicating Artery Aneurysm|Aneurysm, Intracranial Mycotic|Anterior Communicating Artery Aneurysm|Mycotic Aneurysm, Intracranial|Aneurysm, Basilar Artery|Berry Aneurysms|Aneurysms, Giant Intracranial|Artery Aneurysm, Basilar|Aneurysm, Brain|Giant Intracranial Aneurysm|Brain Aneurysm|Brain Aneurysms",http://purl.bioontology.org/ontology/MESH/D020765|http://purl.bioontology.org/ontology/MESH/D000783,C0751001|C0005136|C0751000|C0751002|C0917996|C0740387|C0751003|C0751004|C0751005|C0007766|C0740385|C0740386,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368738|T368734|T368740|T368742|T368741|T368728|T368733|T007390|T368737|T683024|T368736|T368730|T368729|T683023|T368731|T368735|T368739|T007392|T368732|T007391,D002532
82,Intracranial Aneurysm,Pathologic Function,http://purl.bioontology.org/ontology/MESH/D002532,T046,"Aneurysm, Giant Intracranial|Aneurysms, Basilar Artery|Anterior Cerebral Artery Aneurysm|Artery Aneurysms, Basilar|Aneurysms, Brain|Berry Aneurysm|Aneurysms, Berry|Aneurysm, Anterior Cerebral Artery|Aneurysm, Posterior Cerebral Artery|Intracranial Mycotic Aneurysm|Aneurysm, Cerebral|Aneurysms, Intracranial|Intracranial Aneurysms, Giant|Cerebral Aneurysms|Basilar Artery Aneurysms|Aneurysms, Cerebral|Mycotic Aneurysms, Intracranial|Giant Intracranial Aneurysms|Aneurysm, Middle Cerebral Artery|Cerebral Aneurysm|Aneurysm, Intracranial|Posterior Cerebral Artery Aneurysm|Aneurysm, Berry|Intracranial Aneurysms|Intracranial Mycotic Aneurysms|Basilar Artery Aneurysm|Aneurysm, Anterior Communicating Artery|Aneurysms, Intracranial Mycotic|Intracranial Aneurysm, Giant|Aneurysm, Posterior Communicating Artery|Middle Cerebral Artery Aneurysm|Posterior Communicating Artery Aneurysm|Aneurysm, Intracranial Mycotic|Anterior Communicating Artery Aneurysm|Mycotic Aneurysm, Intracranial|Aneurysm, Basilar Artery|Berry Aneurysms|Aneurysms, Giant Intracranial|Artery Aneurysm, Basilar|Aneurysm, Brain|Giant Intracranial Aneurysm|Brain Aneurysm|Brain Aneurysms",http://purl.bioontology.org/ontology/MESH/D020765|http://purl.bioontology.org/ontology/MESH/D000783,C0751001|C0005136|C0751000|C0751002|C0917996|C0740387|C0751003|C0751004|C0751005|C0007766|C0740385|C0740386,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368738|T368734|T368740|T368742|T368741|T368728|T368733|T007390|T368737|T683024|T368736|T368730|T368729|T683023|T368731|T368735|T368739|T007392|T368732|T007391,D002532
83,Intracranial Aneurysm,Pathologic Function,http://purl.bioontology.org/ontology/MESH/D002532,T046,"Aneurysm, Giant Intracranial|Aneurysms, Basilar Artery|Anterior Cerebral Artery Aneurysm|Artery Aneurysms, Basilar|Aneurysms, Brain|Berry Aneurysm|Aneurysms, Berry|Aneurysm, Anterior Cerebral Artery|Aneurysm, Posterior Cerebral Artery|Intracranial Mycotic Aneurysm|Aneurysm, Cerebral|Aneurysms, Intracranial|Intracranial Aneurysms, Giant|Cerebral Aneurysms|Basilar Artery Aneurysms|Aneurysms, Cerebral|Mycotic Aneurysms, Intracranial|Giant Intracranial Aneurysms|Aneurysm, Middle Cerebral Artery|Cerebral Aneurysm|Aneurysm, Intracranial|Posterior Cerebral Artery Aneurysm|Aneurysm, Berry|Intracranial Aneurysms|Intracranial Mycotic Aneurysms|Basilar Artery Aneurysm|Aneurysm, Anterior Communicating Artery|Aneurysms, Intracranial Mycotic|Intracranial Aneurysm, Giant|Aneurysm, Posterior Communicating Artery|Middle Cerebral Artery Aneurysm|Posterior Communicating Artery Aneurysm|Aneurysm, Intracranial Mycotic|Anterior Communicating Artery Aneurysm|Mycotic Aneurysm, Intracranial|Aneurysm, Basilar Artery|Berry Aneurysms|Aneurysms, Giant Intracranial|Artery Aneurysm, Basilar|Aneurysm, Brain|Giant Intracranial Aneurysm|Brain Aneurysm|Brain Aneurysms",http://purl.bioontology.org/ontology/MESH/D020765|http://purl.bioontology.org/ontology/MESH/D000783,C0751001|C0005136|C0751000|C0751002|C0917996|C0740387|C0751003|C0751004|C0751005|C0007766|C0740385|C0740386,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368738|T368734|T368740|T368742|T368741|T368728|T368733|T007390|T368737|T683024|T368736|T368730|T368729|T683023|T368731|T368735|T368739|T007392|T368732|T007391,D002532
84,Hydrocephalus,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D006849,T047,"Hydrocephalus Ex-Vacuos|Hydrocephalus, Obstructive|Hydrocephalus Ex Vacuo|Aqueductal Stenosis|Post-Traumatic Hydrocephalus|Hydrocephaly|Cerebral Ventriculomegalies|Cerebral Ventriculomegaly|Ventriculomegalies, Fetal Cerebral|Stenoses, Aqueductal|Cerebral Ventriculomegaly, Fetal|Stenosis, Aqueductal|Post Traumatic Hydrocephalus|Hydrocephalus, Communicating|Ventriculomegaly, Fetal Cerebral|Fetal Cerebral Ventriculomegalies|Congenital Hydrocephalus|Cerebral Ventriculomegalies, Fetal|Hydrocephalus, Post-Traumatic|Hydrocephalus Ex-Vacuo|Aqueductal Stenoses|Ventriculomegaly, Cerebral|Communicating Hydrocephalus|Obstructive Hydrocephalus|Hydrocephalus, Congenital|Fetal Cerebral Ventriculomegaly|Ventriculomegalies, Cerebral",http://purl.bioontology.org/ontology/MESH/D001927,C2936786|C0549423|C1531647|C0009451|C2936718|C0020255|C0020256|C0270720|C0477432,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368477|T368480|T368482|T368479|T768015|T368478|T768014|T020657|T368481|T768016,D006849
85,Hydrocephalus,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D006849,T047,"Hydrocephalus Ex-Vacuos|Hydrocephalus, Obstructive|Hydrocephalus Ex Vacuo|Aqueductal Stenosis|Post-Traumatic Hydrocephalus|Hydrocephaly|Cerebral Ventriculomegalies|Cerebral Ventriculomegaly|Ventriculomegalies, Fetal Cerebral|Stenoses, Aqueductal|Cerebral Ventriculomegaly, Fetal|Stenosis, Aqueductal|Post Traumatic Hydrocephalus|Hydrocephalus, Communicating|Ventriculomegaly, Fetal Cerebral|Fetal Cerebral Ventriculomegalies|Congenital Hydrocephalus|Cerebral Ventriculomegalies, Fetal|Hydrocephalus, Post-Traumatic|Hydrocephalus Ex-Vacuo|Aqueductal Stenoses|Ventriculomegaly, Cerebral|Communicating Hydrocephalus|Obstructive Hydrocephalus|Hydrocephalus, Congenital|Fetal Cerebral Ventriculomegaly|Ventriculomegalies, Cerebral",http://purl.bioontology.org/ontology/MESH/D001927,C2936786|C0549423|C1531647|C0009451|C2936718|C0020255|C0020256|C0270720|C0477432,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368477|T368480|T368482|T368479|T768015|T368478|T768014|T020657|T368481|T768016,D006849
86,Hydrocephalus,Disease or Syndrome,http://purl.bioontology.org/ontology/MESH/D006849,T047,"Hydrocephalus Ex-Vacuos|Hydrocephalus, Obstructive|Hydrocephalus Ex Vacuo|Aqueductal Stenosis|Post-Traumatic Hydrocephalus|Hydrocephaly|Cerebral Ventriculomegalies|Cerebral Ventriculomegaly|Ventriculomegalies, Fetal Cerebral|Stenoses, Aqueductal|Cerebral Ventriculomegaly, Fetal|Stenosis, Aqueductal|Post Traumatic Hydrocephalus|Hydrocephalus, Communicating|Ventriculomegaly, Fetal Cerebral|Fetal Cerebral Ventriculomegalies|Congenital Hydrocephalus|Cerebral Ventriculomegalies, Fetal|Hydrocephalus, Post-Traumatic|Hydrocephalus Ex-Vacuo|Aqueductal Stenoses|Ventriculomegaly, Cerebral|Communicating Hydrocephalus|Obstructive Hydrocephalus|Hydrocephalus, Congenital|Fetal Cerebral Ventriculomegaly|Ventriculomegalies, Cerebral",http://purl.bioontology.org/ontology/MESH/D001927,C2936786|C0549423|C1531647|C0009451|C2936718|C0020255|C0020256|C0270720|C0477432,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368477|T368480|T368482|T368479|T768015|T368478|T768014|T020657|T368481|T768016,D006849
87,Hydrocephalus,Finding,http://purl.bioontology.org/ontology/MESH/D006849,T033,"Hydrocephalus Ex-Vacuos|Hydrocephalus, Obstructive|Hydrocephalus Ex Vacuo|Aqueductal Stenosis|Post-Traumatic Hydrocephalus|Hydrocephaly|Cerebral Ventriculomegalies|Cerebral Ventriculomegaly|Ventriculomegalies, Fetal Cerebral|Stenoses, Aqueductal|Cerebral Ventriculomegaly, Fetal|Stenosis, Aqueductal|Post Traumatic Hydrocephalus|Hydrocephalus, Communicating|Ventriculomegaly, Fetal Cerebral|Fetal Cerebral Ventriculomegalies|Congenital Hydrocephalus|Cerebral Ventriculomegalies, Fetal|Hydrocephalus, Post-Traumatic|Hydrocephalus Ex-Vacuo|Aqueductal Stenoses|Ventriculomegaly, Cerebral|Communicating Hydrocephalus|Obstructive Hydrocephalus|Hydrocephalus, Congenital|Fetal Cerebral Ventriculomegaly|Ventriculomegalies, Cerebral",http://purl.bioontology.org/ontology/MESH/D001927,C2936786|C0549423|C1531647|C0009451|C2936718|C0020255|C0020256|C0270720|C0477432,BL CF CI CL CN CO DG DH DI DT EC EH EM EN EP ET GE HI IM ME MI MO NU PA PC PP PS PX RH RT SU TH UR VE VI,T368477|T368480|T368482|T368479|T768015|T368478|T768014|T020657|T368481|T768016,D006849
