,Gene name,Gene type,Gene description
4269,RN7SL320P,misc_RNA,"RNA, 7SL, cytoplasmic 320, pseudogene [Source:HGNC Symbol;Acc:HGNC:46336]"
4270,MIR4703,miRNA,microRNA 4703 [Source:HGNC Symbol;Acc:HGNC:41817]
4271,RNU6-65P,snRNA,"RNA, U6 small nuclear 65, pseudogene [Source:HGNC Symbol;Acc:HGNC:42555]"
4272,RNY1P6,misc_RNA,RNY1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:42483]
4273,RN7SL413P,misc_RNA,"RNA, 7SL, cytoplasmic 413, pseudogene [Source:HGNC Symbol;Acc:HGNC:46429]"
4274,GK-IT1,lncRNA,GK intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41339]
4275,,lncRNA,"novel transcript, sense intronic to GK"
4276,GK-AS1,lncRNA,GK antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40255]
4277,TAB3-AS1,lncRNA,TAB3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:20176]
4278,TAB3-AS2,lncRNA,TAB3 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40013]
4279,RN7SL566P,misc_RNA,"RNA, 7SL, cytoplasmic 566, pseudogene [Source:HGNC Symbol;Acc:HGNC:46582]"
4280,PCYT1B-AS1,lncRNA,PCYT1B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40431]
4281,LINC02169,lncRNA,long intergenic non-protein coding RNA 2169 [Source:HGNC Symbol;Acc:HGNC:53031]
4282,,lncRNA,"novel transcript, antisense to ITFG1"
4283,,lncRNA,"novel transcript, antisense to BET3L"
4284,NCOA7-AS1,lncRNA,NCOA7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40954]
4285,,lncRNA,"novel transcript, sense intronic to LGI1"
4286,,lncRNA,"novel transcript, antisense to LGI1"
4287,,lncRNA,"novel transcript, antisense to JMJD5"
4288,LINC00922,lncRNA,long intergenic non-protein coding RNA 922 [Source:HGNC Symbol;Acc:HGNC:27545]
4289,LINC02183,lncRNA,long intergenic non-protein coding RNA 2183 [Source:HGNC Symbol;Acc:HGNC:53045]
4290,MIR4530,miRNA,microRNA 4530 [Source:HGNC Symbol;Acc:HGNC:41764]
4291,,lncRNA,"novel transcript, antisense to SH3D19"
4292,LINC02512,lncRNA,long intergenic non-protein coding RNA 2512 [Source:HGNC Symbol;Acc:HGNC:53501]
4293,LINC02433,lncRNA,long intergenic non-protein coding RNA 2433 [Source:HGNC Symbol;Acc:HGNC:27959]
4294,SNORA79,snoRNA,"small nucleolar RNA, H/ACA box 79 [Source:HGNC Symbol;Acc:HGNC:32665]"
4295,LINC02308,lncRNA,long intergenic non-protein coding RNA 2308 [Source:HGNC Symbol;Acc:HGNC:53227]
4296,SCARNA23,scaRNA,small Cajal body-specific RNA 23 [Source:HGNC Symbol;Acc:HGNC:32581]
4297,,lncRNA,"novel transcript, antisense to TRDN"
4298,RN7SL91P,misc_RNA,"RNA, 7SL, cytoplasmic 91, pseudogene [Source:HGNC Symbol;Acc:HGNC:46107]"
4299,LINC01920,lncRNA,long intergenic non-protein coding RNA 1920 [Source:HGNC Symbol;Acc:HGNC:52738]
4300,,lncRNA,"novel transcript, antisense to CUL3"
4301,BMPR1B-DT,lncRNA,BMPR1B divergent transcript [Source:HGNC Symbol;Acc:HGNC:50864]
4302,,lncRNA,"novel transcript, antisense to DEC1"
4303,ZFX-AS1,lncRNA,ZFX antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40617]
4304,,lncRNA,"novel transcript, antisense to RORB"
4305,,lncRNA,"novel transcript, antisense to SCO2"
4306,MIR5694,miRNA,microRNA 5694 [Source:HGNC Symbol;Acc:HGNC:43530]
4307,,lncRNA,"novel transcript, antisense to CA7"
4308,SLIT3-AS1,lncRNA,SLIT3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40553]
4309,LINC01099,lncRNA,long intergenic non-protein coding RNA 1099 [Source:HGNC Symbol;Acc:HGNC:49222]
4310,PDE3A-AS1,lncRNA,PDE3A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40436]
4311,RNU11-3P,snRNA,"RNA, U11 small nuclear 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:46943]"
4312,VPS13A-AS1,lncRNA,VPS13A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44167]
4313,PRRX2-AS1,lncRNA,PRRX2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50684]
4314,RORB-AS1,lncRNA,RORB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:49803]
4315,,lncRNA,"novel transcript, antisense to C11orf34"
4316,LINC02140,lncRNA,long intergenic non-protein coding RNA 2140 [Source:HGNC Symbol;Acc:HGNC:53000]
4317,LINC01942,lncRNA,long intergenic non-protein coding RNA 1942 [Source:HGNC Symbol;Acc:HGNC:52766]
4318,MCTP1-AS1,lncRNA,MCTP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:54085]
4319,LINC02165,lncRNA,long intergenic non-protein coding RNA 2165 [Source:HGNC Symbol;Acc:HGNC:53026]
4320,MIR1307,miRNA,microRNA 1307 [Source:HGNC Symbol;Acc:HGNC:35372]
4321,LINC02911,lncRNA,long intergenic non-protein coding RNA 2911 [Source:HGNC Symbol;Acc:HGNC:44658]
4322,LINC02134,lncRNA,long intergenic non-protein coding RNA 2134 [Source:HGNC Symbol;Acc:HGNC:52994]
4323,LINC01470,lncRNA,long intergenic non-protein coding RNA 1470 [Source:HGNC Symbol;Acc:HGNC:51105]
4324,,lncRNA,"novel transcript, sense overlapping CCDC71L"
4325,,lncRNA,"novel transcript, antisense to HIBADH"
4326,LINC02141,lncRNA,long intergenic non-protein coding RNA 2141 [Source:HGNC Symbol;Acc:HGNC:53001]
4327,RNA5SP387,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 387 [Source:HGNC Symbol;Acc:HGNC:43287]"
4328,PLCE1-AS2,lncRNA,PLCE1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:51206]
4329,ANKRD10-IT1,lncRNA,ANKRD10 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:39891]
4330,LINC00368,lncRNA,long intergenic non-protein coding RNA 368 [Source:HGNC Symbol;Acc:HGNC:42690]
4331,ARHGEF7-AS2,lncRNA,ARHGEF7 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:40717]
4332,ARHGEF7-IT1,lncRNA,ARHGEF7 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41408]
4333,ARHGEF7-AS1,lncRNA,ARHGEF7 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39816]
4334,,lncRNA,"novel transcript, antisense to KIF3A"
4335,,lncRNA,"novel transcript, antisense to ARHGEF7"
4336,LINC01507,lncRNA,long intergenic non-protein coding RNA 1507 [Source:HGNC Symbol;Acc:HGNC:51189]
4337,RNU6-657P,snRNA,"RNA, U6 small nuclear 657, pseudogene [Source:HGNC Symbol;Acc:HGNC:47620]"
4338,,lncRNA,"novel transcript, sense intronic to CUX1"
4339,PLCE1-AS1,lncRNA,PLCE1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45193]
4340,,lncRNA,"novel transcript, sense intronic to ALDH1A2"
4341,,lncRNA,"novel transcript, antisense to IREB2"
4342,,lncRNA,"novel transcript, antisense to PLCE1"
4343,RNU6-1021P,snRNA,"RNA, U6 small nuclear 1021, pseudogene [Source:HGNC Symbol;Acc:HGNC:47984]"
4344,RNU6-1210P,snRNA,"RNA, U6 small nuclear 1210, pseudogene [Source:HGNC Symbol;Acc:HGNC:48173]"
4345,,lncRNA,"novel transcript, antisense to ANKRD30B"
4346,MIR3156-2,miRNA,microRNA 3156-2 [Source:HGNC Symbol;Acc:HGNC:38213]
4347,LINC01906,lncRNA,long intergenic non-protein coding RNA 1906 [Source:HGNC Symbol;Acc:HGNC:52725]
4348,LINC01443,lncRNA,long intergenic non-protein coding RNA 1443 [Source:HGNC Symbol;Acc:HGNC:50768]
4349,LINC01444,lncRNA,long intergenic non-protein coding RNA 1444 [Source:HGNC Symbol;Acc:HGNC:50769]
4350,PPP1R12A-AS1,lncRNA,PPP1R12A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51903]
4351,KLHDC7B-DT,lncRNA,KLHDC7B divergent transcript [Source:HGNC Symbol;Acc:HGNC:53791]
4352,RNA5SP329,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 329 [Source:HGNC Symbol;Acc:HGNC:43229]"
4353,LINC01556,lncRNA,long intergenic non-protein coding RNA 1556 [Source:HGNC Symbol;Acc:HGNC:21195]
4354,LINC02865,lncRNA,long intergenic non-protein coding RNA 2865 [Source:HGNC Symbol;Acc:HGNC:54516]
4355,MYCBP2-AS1,lncRNA,MYCBP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41023]
4356,RNU6ATAC12P,snRNA,"RNA, U6atac small nuclear 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:46911]"
4357,MYCBP2-AS2,lncRNA,MYCBP2 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:41024]
4358,RN7SL862P,misc_RNA,"RNA, 7SL, cytoplasmic 862, pseudogene [Source:HGNC Symbol;Acc:HGNC:46878]"
4359,,lncRNA,"novel transcript, antisense to RAB31"
4360,RNA5SP449,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 449 [Source:HGNC Symbol;Acc:HGNC:43349]"
4361,ATP11AUN,lncRNA,ATP11A upstream neighbor lncRNA [Source:HGNC Symbol;Acc:HGNC:33793]
4362,ATP11A-AS1,lncRNA,ATP11A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40645]
4363,CASC22,lncRNA,cancer susceptibility 22 [Source:HGNC Symbol;Acc:HGNC:50627]
4364,,lncRNA,"novel transcript, sense intronic to ATP11A"
4365,MCF2L-AS1,lncRNA,MCF2L antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39825]
4366,LINC01022,lncRNA,long intergenic non-protein coding RNA 1022 [Source:HGNC Symbol;Acc:HGNC:48998]
4367,LINC02577,lncRNA,long intergenic non-protein coding RNA 2577 [Source:HGNC Symbol;Acc:HGNC:53749]
4368,LINC01568,lncRNA,long intergenic non-protein coding RNA 1568 [Source:HGNC Symbol;Acc:HGNC:51371]
4369,LINC02008,lncRNA,long intergenic non-protein coding RNA 2008 [Source:HGNC Symbol;Acc:HGNC:52844]
4370,MIR1343,miRNA,microRNA 1343 [Source:HGNC Symbol;Acc:HGNC:41902]
4371,CD44-AS1,lncRNA,CD44 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40133]
4372,RNA5SP297,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 297 [Source:HGNC Symbol;Acc:HGNC:43197]"
4373,RNA5SP298,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 298 [Source:HGNC Symbol;Acc:HGNC:43198]"
4374,RN7SL754P,misc_RNA,"RNA, 7SL, cytoplasmic 754, pseudogene [Source:HGNC Symbol;Acc:HGNC:46770]"
4375,SLC1A2-AS1,lncRNA,SLC1A2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40534]
4376,KCNMA1-AS1,lncRNA,KCNMA1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51213]
4377,KCNMA1-AS2,lncRNA,KCNMA1 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:51214]
4378,,lncRNA,"novel transcript, antisense to KCNMA1"
4379,RNA5SP321,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 321 [Source:HGNC Symbol;Acc:HGNC:43221]"
4380,KCNMA1-AS3,lncRNA,KCNMA1 antisense RNA 3 [Source:HGNC Symbol;Acc:HGNC:51215]
4381,RNU1-124P,snRNA,"RNA, U1 small nuclear 124, pseudogene [Source:HGNC Symbol;Acc:HGNC:48466]"
4382,RNA5SP450,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 450 [Source:HGNC Symbol;Acc:HGNC:43350]"
4383,LINC01361,lncRNA,long intergenic non-protein coding RNA 1361 [Source:HGNC Symbol;Acc:HGNC:50595]
4384,,lncRNA,"novel transcript, antisense to GPATCH2L"
4385,FAM3D-AS1,lncRNA,FAM3D antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41276]
4386,,lncRNA,"novel transcript, antisense to AGK"
4387,RN7SL453P,misc_RNA,"RNA, 7SL, cytoplasmic 453, pseudogene [Source:HGNC Symbol;Acc:HGNC:46469]"
4388,LINC00474,lncRNA,long intergenic non-protein coding RNA 474 [Source:HGNC Symbol;Acc:HGNC:23367]
4389,,lncRNA,"novel transcript, antisense to ALX3"
4390,,lncRNA,"novel transcript, sense overlapping GPATCH2L"
4391,,lncRNA,"novel transcript, antisense to FAM63B"
4392,RNU6-104P,snRNA,"RNA, U6 small nuclear 104, pseudogene [Source:HGNC Symbol;Acc:HGNC:47067]"
4393,ARHGEF9-IT1,lncRNA,ARHGEF9 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41401]
4394,MIR1468,miRNA,microRNA 1468 [Source:HGNC Symbol;Acc:HGNC:35250]
4395,MYOZ3-AS1,lncRNA,MYOZ3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40846]
4396,,lncRNA,"novel transcript, antisense to ARHGEF3"
4397,,lncRNA,"novel transcript, antisense to PTP4A1"
4398,,lncRNA,"novel transcript, antisense to NUDT7"
4399,PSMD7-DT,lncRNA,PSMD7 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53056]
4400,,lncRNA,"novel transcript, antisense to EID2B"
4401,LINC02126,lncRNA,long intergenic non-protein coding RNA 2126 [Source:HGNC Symbol;Acc:HGNC:52983]
4402,,lncRNA,"novel transcript, antisense to PPP5D1"
4403,RNU6-598P,snRNA,"RNA, U6 small nuclear 598, pseudogene [Source:HGNC Symbol;Acc:HGNC:47561]"
4404,,lncRNA,"novel transcript, overlapping to MTPAP"
4405,,lncRNA,"novel transcript, antisense to MTPAP"
4406,RN7SL241P,misc_RNA,"RNA, 7SL, cytoplasmic 241, pseudogene [Source:HGNC Symbol;Acc:HGNC:46257]"
4407,MIR7162,miRNA,microRNA 7162 [Source:HGNC Symbol;Acc:HGNC:50189]
4408,,lncRNA,"novel transcript, antisense to KLHL14"
4409,CHKB-DT,lncRNA,CHKB divergent transcript [Source:HGNC Symbol;Acc:HGNC:40146]
4410,,lncRNA,"novel transcript, antisense to C18orf34"
4411,RN7SL63P,misc_RNA,"RNA, 7SL, cytoplasmic 63, pseudogene [Source:HGNC Symbol;Acc:HGNC:46079]"
4412,LINC02421,lncRNA,long intergenic non-protein coding RNA 2421 [Source:HGNC Symbol;Acc:HGNC:53351]
4413,,lncRNA,"novel transcript, intronic to MAGI1"
4414,LINC02568,lncRNA,long intergenic non-protein coding RNA 2568 [Source:HGNC Symbol;Acc:HGNC:51430]
4415,LINC00973,lncRNA,long intergenic non-protein coding RNA 973 [Source:HGNC Symbol;Acc:HGNC:48868]
4416,FAM151B-DT,lncRNA,FAM151B divergent transcript [Source:HGNC Symbol;Acc:HGNC:55578]
4417,ADAMTS9-AS1,lncRNA,ADAMTS9 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40625]
4418,LINC01863,lncRNA,long intergenic non-protein coding RNA 1863 [Source:HGNC Symbol;Acc:HGNC:52682]
4419,AGA-DT,lncRNA,AGA divergent transcript [Source:HGNC Symbol;Acc:HGNC:27730]
4420,,lncRNA,"novel transcript, antisense to ARG2"
4421,DUSP5-DT,lncRNA,DUSP5 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55154]
4422,LINC02180,lncRNA,long intergenic non-protein coding RNA 2180 [Source:HGNC Symbol;Acc:HGNC:53042]
4423,,lncRNA,"novel transcript, antisense to CALM3"
4424,MMP2-AS1,lncRNA,MMP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53142]
4425,RNA5SP386,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 386 [Source:HGNC Symbol;Acc:HGNC:43286]"
4426,LINC02131,lncRNA,long intergenic non-protein coding RNA 2131 [Source:HGNC Symbol;Acc:HGNC:52991]
4427,,lncRNA,"novel transcript, antisense to SHMT2"
4428,RN7SL364P,misc_RNA,"RNA, 7SL, cytoplasmic 364, pseudogene [Source:HGNC Symbol;Acc:HGNC:46380]"
4429,MIR320E,miRNA,microRNA 320e [Source:HGNC Symbol;Acc:HGNC:38230]
4430,,lncRNA,"novel transcript, antisense to STRN4"
4431,,lncRNA,"novel transcript, antisense to IRX6"
4432,RNU6-571P,snRNA,"RNA, U6 small nuclear 571, pseudogene [Source:HGNC Symbol;Acc:HGNC:47534]"
4433,RNY4P24,misc_RNA,RNY4 pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:42474]
4434,RN7SL369P,misc_RNA,"RNA, 7SL, cytoplasmic 369, pseudogene [Source:HGNC Symbol;Acc:HGNC:46385]"
4435,RN7SL213P,misc_RNA,"RNA, 7SL, cytoplasmic 213, pseudogene [Source:HGNC Symbol;Acc:HGNC:46229]"
4436,RNU7-93P,snRNA,"RNA, U7 small nuclear 93 pseudogene [Source:HGNC Symbol;Acc:HGNC:45627]"
4437,,lncRNA,"novel transcript, antisense to ROBO1"
4438,SFTA3,lncRNA,surfactant associated 3 [Source:HGNC Symbol;Acc:HGNC:18387]
4439,LIPC-AS1,lncRNA,LIPC antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52294]
4440,LINC02631,lncRNA,long intergenic non-protein coding RNA 2631 [Source:HGNC Symbol;Acc:HGNC:54112]
4441,NKX2-1-AS1,lncRNA,NKX2-1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40585]
4442,XIRP2-AS1,lncRNA,XIRP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40679]
4443,TANK-AS1,lncRNA,TANK antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40575]
4444,RN7SKP257,misc_RNA,RN7SK pseudogene 257 [Source:HGNC Symbol;Acc:HGNC:45981]
4445,,lncRNA,"novel transcript, antisense to PAX9"
4446,,lncRNA,"novel transcript, antisense to ADAMTS18"
4447,,lncRNA,"novel transcript, antisense to RARA"
4448,,lncRNA,"novel transcript, antisense to MPP5"
4449,LINC00500,lncRNA,long intergenic non-protein coding RNA 500 [Source:HGNC Symbol;Acc:HGNC:43437]
4450,LINC02204,lncRNA,long intergenic non-protein coding RNA 2204 [Source:HGNC Symbol;Acc:HGNC:53070]
4451,,lncRNA,"novel transcript, sense intronic to LIPC"
4452,LINC02790,lncRNA,long intergenic non-protein coding RNA 2790 [Source:HGNC Symbol;Acc:HGNC:54313]
4453,C2orf27A,lncRNA,chromosome 2 open reading frame 27A [Source:HGNC Symbol;Acc:HGNC:25077]
4454,,lncRNA,"novel transcript, antisense to NEO1"
4455,,lncRNA,"novel transcript, antisense to DENND1C"
4456,VWC2L-IT1,lncRNA,VWC2L intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41508]
4457,,lncRNA,"novel transcript, antisense to EXTL2"
4458,LINC00345,lncRNA,long intergenic non-protein coding RNA 345 [Source:HGNC Symbol;Acc:HGNC:42503]
4459,LINC02070,lncRNA,long intergenic non-protein coding RNA 2070 [Source:HGNC Symbol;Acc:HGNC:52916]
4460,LINC02077,lncRNA,long intergenic non-protein coding RNA 2077 [Source:HGNC Symbol;Acc:HGNC:52925]
4461,OXCT1-AS1,lncRNA,OXCT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40423]
4462,LINC02234,lncRNA,long intergenic non-protein coding RNA 2234 [Source:HGNC Symbol;Acc:HGNC:53105]
4463,SNORA37,snoRNA,"small nucleolar RNA, H/ACA box 37 [Source:HGNC Symbol;Acc:HGNC:32630]"
4464,,lncRNA,"novel transcript, antisense to POLI"
4465,RNA5SP493,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 493 [Source:HGNC Symbol;Acc:HGNC:43393]"
4466,,lncRNA,"novel transcript, antisense to TUBB4A"
4467,RNPC3-DT,lncRNA,RNPC3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55855]
4468,DPYD-IT1,lncRNA,DPYD intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41326]
4469,,lncRNA,"novel transcript, antisense to OXCT1"
4470,LINC02143,lncRNA,long intergenic non-protein coding RNA 2143 [Source:HGNC Symbol;Acc:HGNC:53003]
4471,NDST1-AS1,lncRNA,NDST1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52899]
4472,,lncRNA,"novel transcript, antisense to CLYBL"
4473,MIR6791,miRNA,microRNA 6791 [Source:HGNC Symbol;Acc:HGNC:50097]
4474,PPM1F-AS1,lncRNA,PPM1F antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40888]
4475,,lncRNA,"novel transcript, antisense to KAZN"
4476,LINC00554,lncRNA,long intergenic non-protein coding RNA 554 [Source:HGNC Symbol;Acc:HGNC:43697]
4477,LINC01179,lncRNA,long intergenic non-protein coding RNA 1179 [Source:HGNC Symbol;Acc:HGNC:49556]
4478,PLUT,lncRNA,"PDX1 associated lncRNA, upregulator of transcription [Source:HGNC Symbol;Acc:HGNC:43698]"
4479,RNU6-73P,snRNA,"RNA, U6 small nuclear 73, pseudogene [Source:HGNC Symbol;Acc:HGNC:42563]"
4480,,lncRNA,"novel transcript, antisense to REV3L"
4481,LINC02880,lncRNA,long intergenic non-protein coding RNA 2880 [Source:HGNC Symbol;Acc:HGNC:54660]
4482,,lncRNA,"Novel transcript, antisense to EPHA3"
4483,LINC01232,lncRNA,long intergenic non-protein coding RNA 1232 [Source:HGNC Symbol;Acc:HGNC:49755]
4484,LINC00449,lncRNA,long intergenic non-protein coding RNA 449 [Source:HGNC Symbol;Acc:HGNC:42786]
4485,LINC01039,lncRNA,long intergenic non-protein coding RNA 1039 [Source:HGNC Symbol;Acc:HGNC:49027]
4486,MIR4306,miRNA,microRNA 4306 [Source:HGNC Symbol;Acc:HGNC:38350]
4487,CLYBL-AS2,lncRNA,CLYBL antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:39894]
4488,CLYBL-AS1,lncRNA,CLYBL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39893]
4489,ALG14-AS1,lncRNA,ALG14 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41192]
4490,ELAVL4-AS1,lncRNA,ELAVL4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40210]
4491,LINC01876,lncRNA,long intergenic non-protein coding RNA 1876 [Source:HGNC Symbol;Acc:HGNC:52695]
4492,LINC03008,lncRNA,long intergenic non-protein coding RNA 3008 [Source:HGNC Symbol;Acc:HGNC:56133]
4493,LINC00221,lncRNA,long intergenic non-protein coding RNA 221 [Source:HGNC Symbol;Acc:HGNC:20169]
4494,,lncRNA,"novel transcript, antisense to AHCYL2"
4495,,lncRNA,"novel transcript, antisense to CACNA1B and EHMT1"
4496,LINC00613,lncRNA,long intergenic non-protein coding RNA 613 [Source:HGNC Symbol;Acc:HGNC:44060]
4497,,lncRNA,"novel transcript, antisense to KIAA0922"
4498,,lncRNA,"novel transcript, antisense to TRIP10"
4499,WWC2-AS1,lncRNA,WWC2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41041]
4500,LINC01098,lncRNA,long intergenic non-protein coding RNA 1098 [Source:HGNC Symbol;Acc:HGNC:27731]
4501,LINC00290,lncRNA,long intergenic non-protein coding RNA 290 [Source:HGNC Symbol;Acc:HGNC:38515]
4502,RNA5SP268,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 268 [Source:HGNC Symbol;Acc:HGNC:43168]"
4503,,lncRNA,"novel transcript, antisense to ENPP6"
4504,MIR4745,miRNA,microRNA 4745 [Source:HGNC Symbol;Acc:HGNC:41868]
4505,MIR3187,miRNA,microRNA 3187 [Source:HGNC Symbol;Acc:HGNC:38319]
4506,LINC02247,lncRNA,long intergenic non-protein coding RNA 2247 [Source:HGNC Symbol;Acc:HGNC:53140]
4507,LINC01349,lncRNA,long intergenic non-protein coding RNA 1349 [Source:HGNC Symbol;Acc:HGNC:50568]
4508,EFCAB6-DT,lncRNA,EFCAB6 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55371]
4509,SCTR-AS1,lncRNA,SCTR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40516]
4510,LINC00638,lncRNA,long intergenic non-protein coding RNA 638 [Source:HGNC Symbol;Acc:HGNC:28325]
4511,,lncRNA,"novel transcript, antisense to CDH2"
4512,,lncRNA,"novel transcript, antisense to PIAS2"
4513,ZNF516-AS1,lncRNA,ZNF516 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55324]
4514,NDUFV2-AS1,lncRNA,NDUFV2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50826]
4515,,lncRNA,"novel transcript, sense intronic to CDH20"
4516,RN7SL233P,misc_RNA,"RNA, 7SL, cytoplasmic 233, pseudogene [Source:HGNC Symbol;Acc:HGNC:46249]"
4517,MIR133A1,miRNA,microRNA 133a-1 [Source:HGNC Symbol;Acc:HGNC:31517]
4518,MIR1-2,miRNA,microRNA 1-2 [Source:HGNC Symbol;Acc:HGNC:31500]
4519,RNU6-1038P,snRNA,"RNA, U6 small nuclear 1038, pseudogene [Source:HGNC Symbol;Acc:HGNC:48001]"
4520,RNA5SP451,rRNA_pseudogene,"RNA, 5S ribosomal pseudogene 451 [Source:HGNC Symbol;Acc:HGNC:43351]"
4521,,lncRNA,"novel transcript, sense intronic to ARFGEF1"
4522,ARFGEF1-DT,lncRNA,ARFGEF1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55237]
4523,LINC02050,lncRNA,long intergenic non-protein coding RNA 2050 [Source:HGNC Symbol;Acc:HGNC:52890]
4524,,lncRNA,"novel transcript, sense intronic to FAM46A"
4525,CALHM6-AS1,lncRNA,CALHM6 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40971]
4526,,lncRNA,"novel transcript, antisense to LRRC1"
4527,,lncRNA,"novel transcript, antisense to ZFHX3"
4528,,lncRNA,"novel transcript, sense intronic to RNMT"
4529,GACAT2,lncRNA,gastric cancer associated transcript 2 [Source:HGNC Symbol;Acc:HGNC:50516]
4530,,lncRNA,"novel transcript, sense intronic to SOGA2"
4531,,lncRNA,"novel transcript, antisense to NDUFV2"
4532,,lncRNA,"novel transcript, antisense to TMEM200C"
4533,,lncRNA,"novel transcript, antisense to MED1 & FBXL20"
4534,,lncRNA,"novel transcript, antisense to L3MBTL4"
4535,GJD3-AS1,lncRNA,GJD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56092]
4536,LINC02464,lncRNA,long intergenic non-protein coding RNA 2464 [Source:HGNC Symbol;Acc:HGNC:53401]
4537,RNU5F-3P,snRNA,"RNA, U5F small nuclear 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:42514]"
4538,MIR3976,miRNA,microRNA 3976 [Source:HGNC Symbol;Acc:HGNC:41578]
4539,LNCHR1,lncRNA,"lncRNA induced by HCV, regulator of SREBF1 [Source:HGNC Symbol;Acc:HGNC:56254]"
4540,LINC01613,lncRNA,long intergenic non-protein coding RNA 1613 [Source:HGNC Symbol;Acc:HGNC:51842]
4541,LINC02919,lncRNA,long intergenic non-protein coding RNA 2919 [Source:HGNC Symbol;Acc:HGNC:55653]
4542,COPG2IT1,lncRNA,COPG2 imprinted transcript 1 [Source:HGNC Symbol;Acc:HGNC:2238]
4543,WARS2-IT1,lncRNA,WARS2 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41393]
