gwas_trait,mesh,similarity
Nonobstructive coronary artery disease,Coronary Artery Disease,0.8904070258140564
Cisplatin-induced ototoxicity,"Chemical and Drug Induced Liver Injury, Chronic",0.8539209961891174
Fast beta electroencephalogram,Electrocardiography,0.8427555561065674
Hepatitis B virus-related hepatocellular carcinoma,"Liver Cirrhosis, Alcoholic",0.8809629082679749
Cortisol levels (saliva),Plasma Gases,0.8609039187431335
Cranial base width,Osteomalacia,0.8493690490722656
Eye morphology,Body Image,0.8963707089424133
Nose morphology,Nausea,0.87684166431427
Lip morphology,Capillaries,0.8733264803886414
Lower facial height,Satiation,0.8282340168952942
Facial depth,"Tongue, Fissured",0.841833770275116
Ankle injury,Racquet Sports,0.8800791501998901
Feeling nervous,Body Image,0.8286846280097961
Suffering from nerves,"Receptors, Purinergic",0.8667190670967102
Feeling worry,Heartburn,0.8351325988769531
Feeling fed-up,Eating,0.8167843818664551
Worry too long after an embarrassing experience,Loudness Perception,0.7837506532669067
Aortic valve stenosis,Hypoplastic Left Heart Syndrome,0.8731558918952942
Calcific aortic valve stenosis,Hypoplastic Left Heart Syndrome,0.8704506158828735
diarrhoeal disease at age 1 with doctor diagnosis,"Diarrhea, Infantile",0.865166187286377
Thiopurine-induced leukopenia in inflammatory bowel disease,Bovine Virus Diarrhea-Mucosal Disease,0.8607884645462036
Response to antipsychotic treatment in schizophrenia,"Desensitization, Psychologic",0.8502715826034546
Response to haloperidol in schizophrenia,"Desensitization, Psychologic",0.8509066700935364
Response to perphenazine in schizophrenia,"Desensitization, Psychologic",0.864691972732544
Response to ziprazidone in schizophrenia,"Desensitization, Psychologic",0.8438760638237
Response to quetiapine in schizophrenia,"Desensitization, Psychologic",0.8454961776733398
Response to aripiprazole in schizophrenia,"Desensitization, Psychologic",0.8389557003974915
Response to risperidone in schizophrenia,"Desensitization, Psychologic",0.8525672554969788
Response to olanzapine in schizophrenia,"Desensitization, Psychologic",0.8478434085845947
Feeling hurt,Heartburn,0.826835572719574
Feeling tense,Body Image,0.8209781646728516
Major depressive disorder (unexposed to adversity),"Desensitization, Psychologic",0.8590522408485413
Fractures (vertebral),Osteomalacia,0.8551042675971985
Mortality,Heart Injuries,0.8279871940612793
Carotid artery external diameter,Carotid Arteries,0.9002001881599426
Carotid artery internal diameter,Carotid Arteries,0.9047378897666931
Antipsychotic drug-induced QTc interval change in schizophrenia,"Desensitization, Psychologic",0.8483995795249939
Joint damage in rheumatoid arthritis,Rheumatic Heart Disease,0.8585537672042847
Breast milk fatty acid composition (maternal genotype effect),"Obesity, Maternal",0.8662291169166565
Breast milk fatty acid composition (infant genotype effect),"Obesity, Maternal",0.8613555431365967
Change in glucose in response to thiazide diuretic treatment in hypertension,"Hypertension, Pulmonary",0.8614102602005005
Logical memory (immediate recall) in Alzheimer's disease dementia,Sciatic Neuropathy,0.8459387421607971
Logical memory (delayed recall) in Alzheimer's disease dementia,Sciatic Neuropathy,0.8488461971282959
Cerebrospinal AB1-42 levels in mild cognitive impairment,Cerebral Angiography,0.8593987226486206
Cerebrospinal fluid t-tau levels in mild cognitive impairment,Cerebral Angiography,0.856434166431427
Cerebrospinal fluid p-tau levels in mild cognitive impairment,Cerebral Angiography,0.8516904711723328
Hippocampal volume in mild cognitive impairment,Cerebral Angiography,0.8448140025138855
Cerebrospinal fluid t-tau levels in Alzheimer's disease dementia,Cerebral Angiography,0.8534325957298279
Cerebrospinal fluid p-tau levels in Alzheimer's disease dementia,Cerebral Angiography,0.8498486876487732
Hippocampal volume in Alzheimer's disease dementia,Sciatic Neuropathy,0.8473488092422485
Schizophrenia vs type 2 diabetes,Feeding and Eating Disorders,0.8728258609771729
Schizophrenia and type 2 diabetes,Feeding and Eating Disorders,0.8919795155525208
Fatty acid desaturase activity (serum),Stearoyl-CoA Desaturase,0.8814085125923157
Fatty acid desaturase activity (adipose tissue),Stearoyl-CoA Desaturase,0.879281222820282
Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded),Polycystic Ovary Syndrome,0.8461074233055115
Benign prostatic hyperplasia and lower urinary tract symptoms,Polycystic Ovary Syndrome,0.856920063495636
LDL cholesterol levels in current drinkers,"Cholesterol, LDL",0.9183281660079956
HDL cholesterol levels in current drinkers,"Cholesterol, HDL",0.9045557379722595
Suicide attempts in major depressive disorder or bipolar disorder or schizophrenia,Anxiety Disorders,0.8446202278137207
Leukocyte telomere length,Telomere Homeostasis,0.8323677778244019
Blood urea nitrogen levels,"Anemia, Hemolytic",0.8552166819572449
Diastolic blood pressure x alcohol consumption interaction (2df test),"Liver Diseases, Alcoholic",0.8509231805801392
Mean arterial pressure x alcohol consumption interaction (2df test),"Liver Diseases, Alcoholic",0.8440707921981812
Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test),"Liver Diseases, Alcoholic",0.8478185534477234
HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df),"Cholesterol, Dietary",0.8677527904510498
Triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df),"Liver Diseases, Alcoholic",0.864699125289917
HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df),"Cholesterol, Dietary",0.8722457885742188
Triglyceride levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df),"Liver Diseases, Alcoholic",0.8641823530197144
LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df),"Cholesterol, LDL",0.8757596611976624
LDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df),"Cholesterol, LDL",0.8781450390815735
Suicide attempts in schizophrenia,Anxiety Disorders,0.8378347754478455
Squamous cell carcinoma,"Adenoma, Liver Cell",0.85303795337677
Keratinocyte cancer (MTAG),Plasmacytoma,0.8899176120758057
Ceramide levels,Ceramides,0.8964648246765137
Diacylglyceride levels,Triglycerides,0.9174387454986572
Lysophosphatidylcholine levels,Lysophosphatidylcholines,0.9711439609527588
Lysophosphatidylethanolamine levels,Lysophosphatidylcholines,0.9397316575050354
Triacylglyceride levels,Triglycerides,0.9223189949989319
Pulse pressure x alcohol consumption interaction (2df test),"Hemoglobinuria, Paroxysmal",0.8432303667068481
Pulse pressure x alcohol consumption (light vs heavy) interaction (2df test),"Liver Diseases, Alcoholic",0.8466463685035706
Tyrosine levels,Epinephrine,0.8704618811607361
Xanthine levels,Niacin,0.8901410102844238
Metabolite risk score for predicting weight gain,"Lipid Metabolism, Inborn Errors",0.8669227957725525
Forehead morphology,Steatorrhea,0.8492326140403748
Triacylglycerol 56:6 levels,Monoacylglycerol Lipases,0.8825323581695557
Malate levels,Aspartame,0.8807606101036072
Niacinamide levels,Niacinamide,0.9776954054832458
Sphingomyelin 24:0 levels,Phospholipids,0.8779822587966919
Triacylglycerol 56:2 levels,Monoacylglycerol Lipases,0.8841782808303833
Plasma factor V levels in venous thrombosis,Intracranial Thrombosis,0.8788901567459106
Mental health study participation (completed survey),Nutrition Surveys,0.8495609760284424
Number of alcoholic drinks required to feel an effect (long-term average),"Sodium Chloride, Dietary",0.8305051922798157
End-stage kidney disease,End Stage Liver Disease,0.8863767981529236
Mild to moderate chronic kidney disease,Non-alcoholic Fatty Liver Disease,0.8558880686759949
Marginal zone lymphoma or rheumatoid arthritis,Plasmablastic Lymphoma,0.8567174077033997
Chronic lymphocytic leukemia or systemic lupus erythematosus,Plasmablastic Lymphoma,0.833406388759613
Diffuse large B-cell lymphoma or systemic lupus erythematosus,Plasmablastic Lymphoma,0.8546070456504822
Marginal zone lymphoma or systemic lupus erythematosus,Plasmablastic Lymphoma,0.8628653287887573
Body fat distribution (trunk fat ratio),Body Fat Distribution,0.8798286318778992
Body fat distribution (leg fat ratio),Body Fat Distribution,0.8763747215270996
Body fat distribution (arm fat ratio),Body Fat Distribution,0.8745554685592651
HDL cholesterol x physical activity interaction (2df test),"Cholesterol, Dietary",0.8811861872673035
LDL cholesterol x physical activity interaction (2df test),"Cholesterol, LDL",0.8851829171180725
Maximum cranial width,Osteomalacia,0.8386512398719788
Myopia (age of diagnosis),Prediabetic State,0.8444786667823792
Rosacea symptom severity,Dyspepsia,0.8604170083999634
Triglycerides x physical activity interaction (2df test),Hypertriglyceridemia,0.8715505599975586
LDL cholesterol x physical activity interaction (1df test),"Cholesterol, LDL",0.8811410069465637
HDL cholesterol x physical activity interaction (1df test),"Cholesterol, Dietary",0.8782050013542175
Bone mineral content,Vitamin D,0.8461329340934753
Blood glucose levels,Hyperglycemia,0.8815960884094238
Central retinal vein equivalent,Blood-Retinal Barrier,0.837464451789856
Central retinal arteriolar equivalent,Hypertensive Retinopathy,0.8743020296096802
Opioid use cessation,"Desensitization, Psychologic",0.8431901931762695
Non-glioblastoma glioma,"Liver Neoplasms, Experimental",0.8501177430152893
Worry,Scurvy,0.8801820278167725
Low tan response,Body Image,0.8351130485534668
Plasma neurofilament light levels,Pregnancy-Associated Plasma Protein-A,0.8680942058563232
"Obstructive sleep apnea trait (apnea hypopnea index, change over time)","Hemoglobinuria, Paroxysmal",0.8289499878883362
Spherical equivalent or myopia (age of diagnosis),"Hemoglobinuria, Paroxysmal",0.8366996645927429
Hallucinations in long-term cannabis use,Feeding and Eating Disorders of Childhood,0.8332443833351135
Nonatopic asthma,Dyspepsia,0.857076108455658
Optic cup area,Satiety Response,0.8316850662231445
Optic disc size,Cardiac Output,0.8252546191215515
Optic nerve head parameters (multi-trait analysis),"Hemoglobinuria, Paroxysmal",0.8574427366256714
Intraocular pressure and central corneal thickness (multi-trait analysis),Ocular Hypertension,0.8372237682342529
Lifetime anxiety disorder,Anxiety Disorders,0.856782853603363
Body fat percentage,Body Composition,0.9075024724006653
Diabetic macular edema in type 2 diabetes,Diabetic Retinopathy,0.8971359729766846
Total body bone mineral density (MTAG),Vitamin B 12 Deficiency,0.8393253684043884
Heel bone mineral density (MTAG),"Creatine Kinase, MM Form",0.8527586460113525
Acute respiratory distress syndrome in sepsis,"Anemia, Neonatal",0.8555185794830322
Dermatomyositis or juvenile dermatomyositis,Hereditary Sensory and Motor Neuropathy,0.8705863952636719
Polymyositis,"Mastocytosis, Systemic",0.8741776943206787
Idiopathic inflammatory myopathy,Cardiomyopathies,0.8902581930160522
Depressed affect,"Stress, Psychological",0.8727558255195618
Nonunion in individuals with fractures,Osteomalacia,0.8637108206748962
Response to (pegylated) interferon in HBeAg-negative hepatitis B,Bovine Virus Diarrhea-Mucosal Disease,0.8302770256996155
Response to (pegylated) interferon in HBeAG-positive hepatitis B,"Immunotherapy, Adoptive",0.8336005806922913
Response to (pegylated) interferon in chronic hepatitis B,"Immunotherapy, Adoptive",0.8410585522651672
Blood protein levels in cardiovascular risk,"Hypertension, Portal",0.8790901303291321
Serum linoleic acid concentration in metabolic syndrome,Serum Amyloid A Protein,0.8618077039718628
Serum omega-3 polyunsaturated fatty acid concentration in metabolic syndrome,"Fatty Acids, Monounsaturated",0.8703166842460632
Serum omega-6 to omega-3 polyunsaturated fatty acid ratio in metabolic syndrome,"Fatty Acids, Monounsaturated",0.8392674326896667
Serum docosahexaenoic fatty acid concentration in metabolic syndrome,Stearoyl-CoA Desaturase,0.8647304773330688
Serum omega-6 polyunsaturated fatty acid concentration in metabolic syndrome,"Fatty Acids, Monounsaturated",0.870003342628479
Serum polyunsaturated fatty acid concentration x Mediterranean diet adherence interaction in metabolic syndrome,"Dietary Fats, Unsaturated",0.8681766986846924
Longitudinal brain connectivity change (global efficiency),Metabolic Equivalent,0.838290274143219
Longitudinal brain connectivity change (characteristic path length),Cerebral Angiography,0.8204202651977539
Longitudinal brain connectivity change (Louvain modularity),Facilitated Diffusion,0.8416727185249329
Longitudinal brain connectivity change (transitivity),Cerebral Angiography,0.828771710395813
Plasma proprotein convertase subtilisin/kexin type 9 levels in stable coronary artery disease,Pregnancy-Associated Plasma Protein-A,0.8544450402259827
Time to aseptic loosening in total joint arthroplasty,Heart Valve Prosthesis Implantation,0.8017106652259827
Aseptic loosening in total joint arthroplasty,Heart Valve Prosthesis Implantation,0.8129406571388245
Cryptosporidiosis,Plasmalogens,0.8364118933677673
Response to statins (LDL cholesterol percent change),"Cholesterol, LDL",0.9075477123260498
Low density lipoprotein cholesterol levels (on statin treatment),"Lipoproteins, LDL",0.9061371684074402
Maximum cranial length,Osteomalacia,0.8323190212249756
Cephalic index,Steatorrhea,0.8599165081977844
Prostate cancer (advanced),"Adenoma, Liver Cell",0.8505134582519531
Cerebrospinal fluid beta-site APP cleaving enzyme levels,Cerebral Angiography,0.8546349406242371
Huntington's disease (age at onset),Sciatic Neuropathy,0.8363813161849976
Neuromyelitis optica (AQP4-IgG-positive),"Optic Neuropathy, Ischemic",0.8845164775848389
Spherical equivalent,Satiation,0.8422069549560547
Thyroid autoantibody positivity (anti-thyroglobulin (TgAb) and/or anti-thyroid peroxidase  (TPOAb) levels),"Anti-Inflammatory Agents, Non-Steroidal",0.8449734449386597
Behavioural changes in frontotemporal lobe dementia,Cerebral Angiography,0.8376404643058777
Frontotemporal dementia (age at onset),"Optic Neuropathy, Ischemic",0.8524200320243835
Frontotemporal dementia with GRN mutation,Hereditary Sensory and Motor Neuropathy,0.8808748126029968
Frontotemporal dementia with GRN mutation (age at onset),Hereditary Sensory and Motor Neuropathy,0.8840110898017883
Memory dysfunction in frontotemporal lobe dementia,"Optic Neuropathy, Ischemic",0.8323094248771667
Parkinsonism in frontotemporal lobe dementia,"Optic Neuropathy, Ischemic",0.849257230758667
Basophil percentage of white cells,Basophils,0.9232940077781677
Basophil count,Basophils,0.9564151763916016
Double-edged eyelids,Xenobiotics,0.8117299675941467
Thick vs thin eyebrows,"Muscle, Smooth, Vascular",0.8353015184402466
Excessive hairiness,Steatorrhea,0.8609498739242554
Excessive sweating,Anorexia,0.8668691515922546
Age spots,Onions,0.8212757110595703
General cognitive ability,Walking Speed,0.8113096952438354
Household income (MTAG),"Insurance, Health",0.8346334099769592
Cannabis use (age at onset),Alcoholic Beverages,0.8641560077667236
Mucinous adenocarcinoma in colorectal cancer,"Adenoma, Liver Cell",0.8540171980857849
Alzheimer's disease (onset at age over 80),Alcoholic Neuropathy,0.8335751891136169
Alzheimer's disease (onset between ages 58 and 79),Alcoholic Neuropathy,0.8253368139266968
Childhood onset systemic lupus erythematosus,Hereditary Sensory and Motor Neuropathy,0.8368697166442871
Systolic blood pressure night-to-day ratio in hypertension,"Hypertension, Pulmonary",0.8537909984588623
Diastolic blood pressure night-to-day ratio in hypertension,"Hypertension, Pulmonary",0.8540661334991455
Urinary uric acid excretion,Homocystinuria,0.8366563320159912
Urinary volume,Homocystinuria,0.8272112607955933
Eczema,Allergens,0.8730812668800354
Hay fever and/or eczema,Diarrhea,0.8561964631080627
Urinary calcium excretion,Metabolic Clearance Rate,0.838310182094574
Urinary magnesium excretion,Metabolic Clearance Rate,0.8513774275779724
Opioid exposure,Steatorrhea,0.8820977210998535
Response to long-chain n-3 polyunsaturated fatty acid supplementation (change in triglyceride levels),"Fatty Acids, Monounsaturated",0.8600558042526245
Elevated fasting plasma glucose,Hyperglycemia,0.8883604407310486
Anti-chlamydia trachomatis IgG seropositivity,"Anti-Inflammatory Agents, Non-Steroidal",0.8289241194725037
Hemoglobin concentration,"Hemoglobinuria, Paroxysmal",0.8951725959777832
FEV1,Ventricular Function,0.7812291383743286
Serum urea levels,Plasma,0.8690499663352966
Morningness,Heartburn,0.8526057600975037
Peak expiratory flow,Ventricular Function,0.7812323570251465
Attention deficit hyperactivity disorder or caudate nucleus volume (pleiotropy),Alcoholic Neuropathy,0.8423362374305725
Attention deficit hyperactivity disorder or intracranial volume (pleiotropy),Intracranial Hypertension,0.8501570224761963
Attention deficit hyperactivity disorder or putamen volume (pleiotropy),"Optic Neuropathy, Ischemic",0.8429279327392578
Attention deficit hyperactivity disorder or amygdala volume (pleiotropy),Alcoholic Neuropathy,0.8401647806167603
Non-del(5q) myelodysplastic syndromes,Plasmablastic Lymphoma,0.8686545491218567
Bipolar disorder or major depressive disorder,Anxiety Disorders,0.8509722948074341
Serum creatinine levels,Homocystinuria,0.8633227944374084
Stimulated adipocyte lipolysis,Lipid Metabolism,0.8736312985420227
Cortical surface area,Cortical Spreading Depression,0.8267929553985596
Ocular sarcoidosis,Osteomalacia,0.8526048064231873
Ocular sarcoidosis in sarcoidosis,Hereditary Sensory and Motor Neuropathy,0.8523539304733276
Breast cancer (progesterone-receptor positive),"Osteoporosis, Postmenopausal",0.87635338306427
Autism and major depressive disorder (MTAG),Anxiety Disorders,0.8652009963989258
Clozapine-induced myocarditis in schizophrenia,Alcoholic Neuropathy,0.8701395988464355
Reading disability,Population Health,0.8109110593795776
Spontaneous adipocyte lipolysis,Glycogenolysis,0.8695862889289856
Household income,Population Health,0.8609703779220581
Erythrocyte methylated 6-mercaptopurine metabolite concentration in 6-mercaptopurine-treated acute lymphoblastic leukaemia,"Carbohydrate Metabolism, Inborn Errors",0.8349826335906982
DNA-incorporated thioguanine levels in 6-mercaptopurine-treated acute lymphoblastic leukaemia,"Anemia, Dyserythropoietic, Congenital",0.8306942582130432
Erythrocyte thioguanine concentration in 6-mercaptopurine-treated acute lymphoblastic leukaemia,"Anemia, Dyserythropoietic, Congenital",0.8403584957122803
Meconium ileus in cystic fibrosis,Bovine Virus Diarrhea-Mucosal Disease,0.8485913276672363
Crohn's disease (time to progression),Rheumatic Heart Disease,0.8456676602363586
Crohn's disease (time to first abdominal surgery),"Diarrhea, Infantile",0.844049870967865
Crohn's disease (indolent vs progressive),"Colitis, Collagenous",0.833977997303009
Modic changes,"Depression, Chemical",0.8641902804374695
Follicle stimulating hormone levels,Glucagon-Like Peptide 2,0.8276119232177734
Follicle stimulating hormone in healthy women,Glucagon-Like Peptide 2,0.8380511403083801
Insomnia symptoms (never/rarely vs. usually),"Insulin, Regular, Human",0.8236559629440308
High light scatter reticulocyte count,"Anemia, Macrocytic",0.8538675308227539
Crohn's disease or systemic sclerosis,Rheumatic Heart Disease,0.8418262600898743
Thyroid volume in Hashimoto’s thyroiditis,Familial Hypophosphatemic Rickets,0.8571663498878479
Endometriosis or migraine,Migraine Disorders,0.8834196329116821
Weight gain in amisulpride-treated first-episode psychosis,"Desensitization, Psychologic",0.8480169177055359
High light scatter reticulocyte percentage of red cells,"Hemoglobinuria, Paroxysmal",0.850691020488739
Carotid intima media thickness x smoking interaction,Coronary Angiography,0.8613263964653015
Adverse response to inhaled corticosteroid treatment x age interaction in asthma,"Anti-Inflammatory Agents, Non-Steroidal",0.8656913638114929
Autism and schizophrenia (MTAG),"Headache Disorders, Secondary",0.8525195121765137
Autism and educational attainment (MTAG),Pediatric Obesity,0.8387466669082642
Insomnia symptoms (never/rarely vs. sometimes/usually),Migraine Disorders,0.8106100559234619
Triiodothyronine/thyroxine ratio,Pyridoxine,0.818199098110199
Estimated glomerular filtration rate in coronary artery disease and impaired kidney function,"Hypertension, Renal",0.8483617305755615
Creativity,Satiation,0.8939558267593384
Menstruation quality of life impact (acne),"Fatigue Syndrome, Chronic",0.8385624289512634
Dysmenorrheic pain severity,Dyspepsia,0.8623601198196411
Menstruation quality of life impact (dysmenorrhea),"Osteoporosis, Postmenopausal",0.855573296546936
Pain medicine use during menstruation,"Osteoporosis, Postmenopausal",0.8576316833496094
Menstruation quality of life impact (bowel movement),Irritable Bowel Syndrome,0.8272250294685364
Menstruation quality of life impact (edema),"Hemoglobinuria, Paroxysmal",0.8388434648513794
Menstruation quality of life impact (headache),Quality of Life,0.8411458730697632
Menstruation quality of life impact (joint pain),Quality of Life,0.8432784080505371
Menstruation quality of life impact (loss of concentration),Quality of Life,0.8364728689193726
Menstruation quality of life impact (nervousness),Quality of Life,0.8415195941925049
Menstruation quality of life impact (pressure in breast),"Osteoporosis, Postmenopausal",0.8351283073425293
Menstruation quality of life impact (sleepiness),"Osteoporosis, Postmenopausal",0.8356178998947144
Menstruation quality of life impact (increased appetite),"Osteoporosis, Postmenopausal",0.83067786693573
Menstruation quality of life impact (fever),Quality of Life,0.8421319127082825
Heavy vaginal discharge,Xerostomia,0.8476303219795227
Menstruation quality of life impact (stiff neck),"Fatigue Syndrome, Chronic",0.8397818207740784
Vaginal discharge (itching),Xerostomia,0.8635095357894897
Vaginal discharge (smell),Xerostomia,0.8687486052513123
Exacerbations requiring hospitalisation in asthma,"Asthma, Exercise-Induced",0.8624817132949829
Type 1 diabetes in high risk HLA genotype individuals (time to event),"Diabetes Mellitus, Type 1",0.8518497347831726
Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event),"Hemoglobinuria, Paroxysmal",0.860859215259552
Osteoarthritis of the hand,Osteomalacia,0.8223781585693359
Delta-5 desaturase activity response to n3-polyunsaturated fat supplement,Stearoyl-CoA Desaturase,0.8884885311126709
Serum alpha-fetoprotein levels,Pregnancy-Associated Plasma Protein-A,0.8517442941665649
Serum carcinoembryonic antigen levels,Pregnancy-Associated Plasma Protein-A,0.8484324812889099
Serum cancer antigen 15.3 levels,Pregnancy-Associated Plasma Protein-A,0.858546793460846
Serum cancer antigen 19.9 levels,Pregnancy-Associated Plasma Protein-A,0.8419859409332275
Serum cancer antigen 125 (CA 125) levels,Serum Amyloid A Protein,0.8537678718566895
Attention deficit hyperactivity disorder (persistent),Impulsive Behavior,0.8542409539222717
Attention deficit hyperactivity disorder (childhood),Impulsive Behavior,0.8552031517028809
Schizophrenia or breast cancer (pleiotropy),"Desensitization, Psychologic",0.8649440407752991
Schizophrenia or ER positive breast cancer (pleiotropy),"Desensitization, Psychologic",0.8658415079116821
Etiocholanolone glucuronide levels,Dehydroascorbic Acid,0.8702435493469238
Butyrylcarnitine (C4) levels,Carnitine,0.8893946409225464
Butyrylglycine (C4) levels,Glutamic Acid,0.8810482025146484
1-linoleoyl-GPG (18:2) levels,"Fatty Acids, Monounsaturated",0.8596430420875549
1-oleoyl-GPG (18:1) levels,"Fatty Acids, Monounsaturated",0.8524610996246338
Glycochenodeoxycholate glucuronide (1) levels,Dehydroascorbic Acid,0.8924683332443237
Taurodeoxycholic acid 3-sulfate levels,Dehydroascorbic Acid,0.9003257155418396
Hexadecanedioate (C16) levels,Diethylhexyl Phthalate,0.865155041217804
Hexadecenedioate (C16:1-DC) levels,Diethylhexyl Phthalate,0.8628316521644592
Octadecenedioate (C18:1-DC) levels,Diethylhexyl Phthalate,0.8575920462608337
Octadecadienedioate (C18:2-DC) levels,Dehydroascorbic Acid,0.8549951314926147
Deoxycarnitine levels,Carnitine,0.8932554721832275
1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0) levels,Stearoyl-CoA Desaturase,0.8536065816879272
1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1) levels,Stearoyl-CoA Desaturase,0.854729413986206
Decadienedioic acid (C10:2-DC) levels,Dehydroascorbic Acid,0.8687869906425476
Tetradecadienedioate (C14:2-DC) levels,"Diterpenes, Clerodane",0.859163224697113
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4) levels,Stearoyl-CoA Desaturase,0.8503271341323853
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6) levels,Stearoyl-CoA Desaturase,0.8565191030502319
1-palmitoyl-GPE (16:0) levels,"Fatty Acids, Monounsaturated",0.8543272018432617
"Androstenediol (3beta,17beta) disulfate (1) levels",Vitamin D3 24-Hydroxylase,0.8532828688621521
Pregnen-diol disulfate levels,Ergocalciferols,0.8646246790885925
"Androstenediol (3alpha, 17alpha) monosulfate (2) levels",Cholesterol 7-alpha-Hydroxylase,0.8431627750396729
"5alpha-androstan-3beta,17beta-diol monosulfate (1) levels",Cholesterol 7-alpha-Hydroxylase,0.8333772420883179
Dihomo-linolenoylcarnitine (C20:3n3 or 6) levels,"Fatty Acids, Monounsaturated",0.8634126782417297
Dihomo-linoleoylcarnitine (C20:2) levels,Carnitine O-Palmitoyltransferase,0.867598831653595
Azelaoyltaurine levels,Phenylthiourea,0.8968837261199951
Hexanoylglutamine levels,Lysergic Acid Diethylamide,0.8789458274841309
"5alpha-androstan-3alpha,17alpha-diol monosulfate levels",Cholesterol 7-alpha-Hydroxylase,0.826103150844574
"5alpha-androstan-3alpha,17beta-diol monosulfate (1) levels",Cholesterol 7-alpha-Hydroxylase,0.8334605097770691
"5alpha-androstan-3beta,17beta-diol monosulfate (2) levels",Cholesterol 7-alpha-Hydroxylase,0.8346078395843506
Androsterone sulfate levels,Adiponectin,0.8473902344703674
Epiandrosterone sulfate levels,Adiponectin,0.8584879040718079
Carnitine levels,Carnitine,0.9536211490631104
1-oleoyl-2-linoleoyl-GPE (18:1/18:2) levels,Stearoyl-CoA Desaturase,0.8414741158485413
"1,2-dilinoleoyl-GPC (18:2/18:2) levels","Fatty Acids, Monounsaturated",0.8337273001670837
Docosatrienoate (22:3n6) levels,Stearoyl-CoA Desaturase,0.8466927409172058
Stearoyl-arachidonoyl-glycerol (18:0/20:4) [1] levels,Stearoyl-CoA Desaturase,0.8515148162841797
1-linoleoyl-GPE (18:2) levels,"Fatty Acids, Monounsaturated",0.8514382839202881
1-stearoyl-2-linoleoyl-GPE (18:0/18:2) levels,Stearoyl-CoA Desaturase,0.851341962814331
1-(1-enyl-palmitoyl)-2-arachidonoyl-gpc (p-16:0/20:4) levels,Stearoyl-CoA Desaturase,0.8488975167274475
1-arachidonoyl-GPC (20:4) levels,Stearoyl-CoA Desaturase,0.8515028953552246
1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6) levels,Stearoyl-CoA Desaturase,0.8548718094825745
1-stearoyl-2-arachidonoyl-gpc (18:0/20:4) levels,Stearoyl-CoA Desaturase,0.8578323125839233
Oleoyl-arachidonoyl-glycerol (18:1/20:4) [1] levels,Stearoyl-CoA Desaturase,0.83226478099823
Oleoyl-arachidonoyl-glycerol (18:1/20:4) [2] levels,Arachidonate 5-Lipoxygenase,0.8348209857940674
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2) levels,Stearoyl-CoA Desaturase,0.851238489151001
17alpha-hydroxypregnanolone glucuronide levels,Vitamin D3 24-Hydroxylase,0.8629765510559082
Androsterone glucuronide levels,"Steroid Metabolism, Inborn Errors",0.8566778898239136
Inguinal hernia,Intra-Abdominal Fat,0.839306116104126
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4) levels,Stearoyl-CoA Desaturase,0.854440450668335
Pregnenetriol disulfate levels,Pyridoxamine,0.8722257614135742
"5alpha-androstan-3alpha,17beta-diol monosulfate (2) levels",Cholesterol 7-alpha-Hydroxylase,0.8352654576301575
"Bilirubin (E,E) levels",Homocystinuria,0.8789681196212769
"Bilirubin (E,Z or Z,E) levels","Hemoglobinuria, Paroxysmal",0.8650089502334595
4-guanidinobutanoate levels,Lysergic Acid Diethylamide,0.8805662393569946
Imidazole lactate levels,Niacinamide,0.8880293369293213
3-methylglutaconate levels,Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.8813769221305847
3-methylglutarylcarnitine (2) levels,Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.8923091888427734
N-acetylkynurenine (2) levels,Lysergic Acid Diethylamide,0.8802310824394226
N-acetylhistidine levels,Lysergic Acid Diethylamide,0.866947591304779
N-acetylleucine levels,Glutamic Acid,0.8710136413574219
N-acetylphenylalanine levels,Lysergic Acid Diethylamide,0.869430661201477
Phosphatidylcholine-O(32:0)_[M+H]1+/Phosphatidylethanolamine-O(35:0)_[M+H]1+ levels,Lysophosphatidylcholines,0.8181504607200623
Phosphatidylcholine-O(34:1)_[M+H]1+/Phosphatidylcholine-P(34:0)_[M+H]1+/Phosphatidylethanolamine-O(37:1)_[M+H]1+ levels,Lysophosphatidylcholines,0.7903642058372498
Phosphatidylcholine-O_44:5_[M+OAc]1-/Phosphatidylcholine-P_44:4_[M+OAc]1- levels,Class II Phosphatidylinositol 3-Kinases,0.8143336176872253
