,gpt_mesh,series
140,"Follicle Stimulating Hormone, Homologous",gpt_jolly
141,"Luteinizing Hormone, Homologous",gpt_jolly
142,"Blastocyst, Homologous",gpt_jolly
143,"Fertilization, Homologous",gpt_jolly
144,"Cleavage Stage, Ovum, Homologous",gpt_jolly
145,"Embryo Implantation, Delayed, Homologous",gpt_jolly
146,"Embryo Transfer Techniques, Homologous",gpt_jolly
147,"Egg Retrieval, Homologous",gpt_jolly
148,"Egg Yolk, Homologous",gpt_jolly
149,"Fertilization Techniques, Homologous",gpt_jolly
150,"Insemination, Artificial, Homologous",gpt_jolly
151,"Oocyte Donation, Homologous",gpt_jolly
152,"Sperm Injections, Intracytoplasmic, Homologous",gpt_jolly
153,"Sperm Motility, Homologous",gpt_jolly
154,"Testicular Sperm Extraction, Homologous",gpt_jolly
155,"Zona Pellucida, Homologous",gpt_jolly
156,"Semen Preservation, Homologous",gpt_jolly
157,Ovarian Follicle,gpt_jolly
